NON $ % + - . 0 1
#NON	a	e	g	b	c	d	f
0.0	0.4078061844498593	0.33794456518144456	0.3771882135329945	0.002235126361558759	0.595434055912894	0.2857844016816524	0.9414721983481739
0.33557046979865773	0.3333195618553212	0.2921469937845447	0.29806172499309674	0.09314728435437064	0.3985408656569832	0.173548012178517	0.5294001355863196
0.6711409395973155	0.29708462746793896	0.25898489107772316	0.24380931615317314	0.13887264002615732	0.31221183346814546	0.11260473387113631	0.30843119053425955
1.0067114093959733	0.27688192370895615	0.2331839575762919	0.20517033010839714	0.162065029258051	0.27114637135616726	0.07753092429688092	0.18752405455168691
1.342281879194631	0.26366635632169183	0.21203175291674214	0.1766366043721843	0.17415903567559424	0.24893481680346652	0.05613434531941112	0.11968401033660078
1.6778523489932886	0.2536890626160843	0.19412010940593263	0.15485392691890162	0.18070627115862595	0.23481923564113744	0.04239094893193034	0.08048370954820906
2.0134228187919465	0.24537403781021372	0.17870094913947854	0.13774771369324385	0.18437818659744035	0.22438886623621968	0.033189851604719704	0.05708435204285976
2.348993288590604	0.23805844250449104	0.1653590499142077	0.12402117461327115	0.18648056890935383	0.21583107172353444	0.026832197268802663	0.04263194649370429
2.684563758389262	0.23147211662270725	0.15384007907386474	0.11284923062618997	0.18767395137677165	0.20840697367300512	0.022332773108193902	0.03339410593587885
3.0201342281879198	0.22551412164383283	0.14395885938729394	0.10368714220274672	0.1883097334209273	0.20182235807486062	0.0190877290251424	0.027290137710221905
3.3557046979865772	0.22015173240335273	0.13555329388647633	0.09615334734037502	0.18858756085275094	0.19596238021180754	0.0167100547977256	0.02312949317000119
3.691275167785235	0.2153728373065667	0.12846533915353253	0.08996137202251007	0.18862995759817636	0.1907773902154023	0.01494342282168	0.020211890388980996
4.026845637583893	0.21116388564401223	0.12253704330590161	0.08488277993202564	0.18851813195102163	0.18623403037532532	0.013614029286058399	0.018113607460373618
4.3624161073825505	0.2075012686117685	0.11761355727256198	0.0807282304077415	0.18830925429803655	0.18229598398172298	0.012601957610899547	0.016570933865709646
4.697986577181208	0.2043499949089944	0.11354807947154506	0.07733806143326244	0.18804489657054432	0.17891858755275578	0.01182328962212514	0.015415143428610735
