,,,Slide ID,a,c,e,b,d,f
,,,Antibody Name,a,c,e,b,d,f
,,,HUGO ID,a,c,e,b,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.22468946716908333,0.9325180200511225,0.0760331921302757,0.8368583460558404,0.4292967987856994,0.4235052745727865
C1,no,Insulin,0.5050505050505051,0.12439259202790984,0.4117444696613288,0.1531889791467806,0.36063395097963497,0.20396849573441106,0.231444669648197
C1,no,Insulin,1.0101010101010102,0.07562870482645286,0.24650605143314458,0.16804505050784327,0.18879636599910646,0.1031581693699282,0.12826713009355656
C1,no,Insulin,1.5151515151515151,0.050457990238455805,0.18531085602996836,0.161484397012502,0.11808251889041488,0.056374156855933326,0.07320313284760868
C1,no,Insulin,2.0202020202020203,0.03647880731045052,0.15765929435001866,0.1498547509583577,0.0838113106384601,0.0336023559912619,0.043659601278921135
C1,no,Insulin,2.5252525252525255,0.028010705811133376,0.142244946282663,0.13858965388704989,0.06457494551380415,0.021802515152708896,0.027489797429802124
C1,no,Insulin,3.0303030303030303,0.022475345282087486,0.13202488349103456,0.12902305670459263,0.05257475133653045,0.0152484169363725,0.018368341765506335
C1,no,Insulin,3.5353535353535355,0.018664021428252776,0.12446279283995572,0.1212045178279459,0.0445495169970128,0.011361181848631718,0.01303579687820891
C1,no,Insulin,4.040404040404041,0.015958050804809925,0.1185456594788355,0.11487504328351662,0.03893204882550619,0.008925033062100553,0.009799321291708098
C1,no,Insulin,4.545454545454546,0.014002849940628673,0.11380543057440762,0.10975725193719803,0.03488043081456885,0.007330814174819097,0.00776198531637281
C1,no,Insulin,5.050505050505051,0.012574621278041546,0.1099833170318762,0.10562194059642453,0.03190159655219926,0.0062524293013230935,0.006435442902130013
C1,no,Insulin,5.555555555555556,0.011523133579549441,0.10690814009135678,0.10228946070553259,0.029685357090312864,0.00550415692824093,0.005545401701738473
C1,no,Insulin,6.0606060606060606,0.010744076540293407,0.1044493315681138,0.09961705528746573,0.028024525124722206,0.004974486896930126,0.004932606192510832
C1,no,Insulin,6.565656565656566,0.0101637261536822,0.10249840936438213,0.09748748581336573,0.026774317574544314,0.004593574190555084,0.004501479547587543
C1,no,Insulin,7.070707070707071,0.009729375396664205,0.10096223924741246,0.09580202825070745,0.025830411110052395,0.00431614349099767,0.004192745748179983
C1,no,Insulin,7.575757575757576,0.009402997706625553,0.09976082811529034,0.09447682183344083,0.0251162136202289,0.004112015672693486,0.003968486738439799
C1,no,Insulin,8.080808080808081,0.009156937500350647,0.09882650768039367,0.09344099519581579,0.024574898060935588,0.0039605975017754196,0.0038037381907811414
