,,,Slide ID,e,a,c,d,b
,,,Antibody Name,e,a,c,d,b
,,,HUGO ID,e,a,c,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.49663206804042626,0.8695941646946513,0.49481196387881177,0.014356096013327213,0.6673861471581202
C1,no,Insulin,0.5050505050505051,0.24131539819579742,0.4723982264312154,0.33525075217690886,0.1558405702642918,0.4143828831383412
C1,no,Insulin,1.0101010101010102,0.16588096305960387,0.35314450806594316,0.25845492548165194,0.1839387061499385,0.2818631533880732
C1,no,Insulin,1.5151515151515151,0.14114724570922774,0.3103466502422633,0.21922508888929715,0.17910074376703952,0.2138745136803643
C1,no,Insulin,2.0202020202020203,0.1311580280076675,0.29117964838900834,0.19831091833356704,0.16855054539149486,0.1795113093218658
C1,no,Insulin,2.5252525252525255,0.12601784861003118,0.28062140661919,0.18684347692168138,0.1600625891535957,0.16215543726071874
C1,no,Insulin,3.0303030303030303,0.12300663884840271,0.27422206525664455,0.18044486139934102,0.1546365528272573,0.15328774167518192
C1,no,Insulin,3.5353535353535355,0.1212060267261266,0.27031284090196595,0.17683682295654876,0.15149484013437103,0.14867808207768057
C1,no,Insulin,4.040404040404041,0.1201531289420756,0.26798284514744614,0.17478969171340553,0.14975774573943765,0.14624155364805874
C1,no,Insulin,4.545454545454546,0.11955447083085206,0.2666327148295082,0.17362399651529348,0.1488158473380248,0.1449374407021742
C1,no,Insulin,5.050505050505051,0.11922145559037235,0.26586787445023863,0.17295883395217732,0.1483082832558314,0.14423412368531516
C1,no,Insulin,5.555555555555556,0.11903883514142588,0.265441445356482,0.17257882793017681,0.14803490748110354,0.14385352304717242
C1,no,Insulin,6.0606060606060606,0.11893951966666723,0.26520619616884183,0.17236158088837028,0.14788752208046238,0.1436474628701525
C1,no,Insulin,6.565656565656566,0.11888575272945187,0.26507731303770626,0.17223733287033108,0.1478080182297542,0.14353606541730807
C1,no,Insulin,7.070707070707071,0.1188567220747473,0.2650070449061868,0.17216625750950046,0.14776516070209506,0.14347600576755892
C1,no,Insulin,7.575757575757576,0.11884107691066241,0.26496887547371145,0.17212559315731926,0.1477421009887125,0.14344373829527338
C1,no,Insulin,8.080808080808081,0.11883266244088733,0.2649482111213842,0.1721023263647826,0.1477297311006679,0.14342647603198377
C1,no,Insulin,8.585858585858587,0.11882814919146702,0.26493706227604025,0.17208901233944807,0.1477231204069735,0.14341728501181758
C1,no,Insulin,9.090909090909092,0.1188257358078889,0.2649310695173101,0.1720813943754536,0.14771960471431025,0.14341242081207836
C1,no,Insulin,9.595959595959597,0.11882445086382933,0.2649278623676436,0.17207703668272703,0.1477177471233813,0.14340986436087402
C1,no,Insulin,10.101010101010102,0.11882377052709908,0.26492615476763753,0.172074543882023,0.14771677154017052,0.14340853101113432
C1,no,Insulin,10.606060606060607,0.11882341151512908,0.26492524870414347,0.17207311669474917,0.14771626297203894,0.14340784137799828
C1,no,Insulin,11.111111111111112,0.11882322373680962,0.26492477144560955,0.1720722996630963,0.14771600038594732,0.1434074886562248
C1,no,Insulin,11.616161616161618,0.11882312610803122,0.26492452157842045,0.17207183170989498,0.14771586630637343,0.14340731091418624
C1,no,Insulin,12.121212121212121,0.11882307640037021,0.26492439300025417,0.17207156479568533,0.14771579945370342,0.14340722361551442
C1,no,Insulin,12.626262626262626,0.11882305043320475,0.26492432522595083,0.17207141018657082,0.14771576571646494,0.14340718012807088
C1,no,Insulin,13.131313131313131,0.11882303725629716,0.2649242905383207,0.1720713211911024,0.14771574905557,0.14340715961733058
C1,no,Insulin,13.636363636363637,0.1188230315829376,0.2649242748902771,0.17207127123666183,0.14771574172343283,0.143407151398373
C1,no,Insulin,14.141414141414142,0.11882302899521431,0.26492426735793856,0.1720712424705169,0.14771573907455074,0.14340714827519782
C1,no,Insulin,14.646464646464647,0.11882302728092294,0.26492426233587224,0.1720712218490565,0.14771573739332292,0.14340714646337327
C1,no,Insulin,15.151515151515152,0.11882302641858562,0.26492425977778605,0.17207120921338306,0.14771573663134835,0.14340714594315918
C1,no,Insulin,15.656565656565657,0.11882302641115049,0.2649242597738743,0.1720712051944885,0.1477157370955158,0.1434071469220421
C1,no,Insulin,16.161616161616163,0.1188230262809101,0.2649242593197529,0.17207120067504983,0.14771573715061603,0.1434071472663352
C1,no,Insulin,16.666666666666668,0.11882302649701952,0.2649242598570821,0.17207120003003437,0.1477157375813078,0.14340714799989276
C1,no,Insulin,17.171717171717173,0.11882302668992845,0.26492426031817834,0.17207119835883133,0.1477157380458018,0.1434071488565679
C1,no,Insulin,17.67676767676768,0.11882302707247272,0.2649242613572215,0.1720712015494688,0.1477157385051775,0.14340714939307003
C1,no,Insulin,18.181818181818183,0.118823027455017,0.26492426239626476,0.17207120474010626,0.1477157389645532,0.14340714992957218
C1,no,Insulin,18.68686868686869,0.1188230275013359,0.26492426252153783,0.17207120529429204,0.14771573900379706,0.14340714995469775
C1,no,Insulin,19.191919191919194,0.1188230274917894,0.2649242624949837,0.172071205410419,0.14771573897323406,0.1434071498948557
