,,,Slide ID,c,a,b,d
,,,Antibody Name,c,a,b,d
,,,HUGO ID,c,a,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.047790823450381326,0.5395052421614355,0.1959388943284256,0.8459725769258054
C1,no,Insulin,0.5050505050505051,0.12361181650544648,0.3111598138063523,0.21700532378055967,0.47610237747633205
C1,no,Insulin,1.0101010101010102,0.14048075114240297,0.24277393346524623,0.2075780532216213,0.30288255621846316
C1,no,Insulin,1.5151515151515151,0.14411756826078098,0.22111297207900613,0.19781768652203705,0.2234730738003714
C1,no,Insulin,2.0202020202020203,0.14546731449424494,0.2143472712378681,0.19216621034201817,0.18780251168454332
C1,no,Insulin,2.5252525252525255,0.14641564788923758,0.21249028176513493,0.18950224834123164,0.17206558769371308
C1,no,Insulin,3.0303030303030303,0.14713190052753086,0.2122005069311949,0.18841164209302377,0.1652403794864875
C1,no,Insulin,3.5353535353535355,0.14762560912050723,0.2123379426506849,0.18803199877314555,0.1623332665350484
C1,no,Insulin,4.040404040404041,0.14793895767426743,0.21253367261237327,0.18793646808080497,0.16112080935365627
C1,no,Insulin,4.545454545454546,0.14812645525493315,0.21268869911462968,0.1879380215429522,0.16062833479409339
C1,no,Insulin,5.050505050505051,0.14823406460908287,0.2127917690673736,0.18796336810543512,0.1604353180306936
C1,no,Insulin,5.555555555555556,0.14829397126115818,0.21285462369084432,0.18798789224173557,0.1603635378610824
C1,no,Insulin,6.0606060606060606,0.1483265602871129,0.21289100907581376,0.1880057329461055,0.16033906057753677
C1,no,Insulin,6.565656565656566,0.14834397050768747,0.2129113459490191,0.1880172286035029,0.16033205719421986
C1,no,Insulin,7.070707070707071,0.14835313675244396,0.21292242770377504,0.1880241448179205,0.16033094101407616
C1,no,Insulin,7.575757575757576,0.14835790479963148,0.2129283509172356,0.18802812485833617,0.16033146401579357
C1,no,Insulin,8.080808080808081,0.14836036019024565,0.21293146917158115,0.1880303443776673,0.16033221158447403
C1,no,Insulin,8.585858585858587,0.14836161416912183,0.2129330912969692,0.18803155413671327,0.1603328037875253
C1,no,Insulin,9.090909090909092,0.1483622474279288,0.2129339235742947,0.1880321995639371,0.16033319633725993
C1,no,Insulin,9.595959595959597,0.14836256647776339,0.21293434842544035,0.18803253978394907,0.16033343437027156
C1,no,Insulin,10.101010101010102,0.14836272684031776,0.21293456446510095,0.18803271759279477,0.16033357199940598
C1,no,Insulin,10.606060606060607,0.1483628064994244,0.212934673013085,0.18803280929157823,0.16033364926470284
C1,no,Insulin,11.111111111111112,0.14836284557052498,0.21293472677582648,0.18803285578691253,0.16033369112430604
C1,no,Insulin,11.616161616161618,0.14836286430796453,0.2129347528124617,0.1880328787995405,0.16033371304684504
C1,no,Insulin,12.121212121212121,0.14836287344917426,0.21293476561135216,0.18803289027582268,0.16033372438243262
C1,no,Insulin,12.626262626262626,0.14836287817412366,0.21293477223370394,0.1880328962213667,0.1603337302712293
C1,no,Insulin,13.131313131313131,0.14836288061562194,0.21293477565750735,0.18803289931644535,0.1603337333729368
C1,no,Insulin,13.636363636363637,0.14836288183994129,0.21293477738166522,0.1880329009015818,0.16033373501600956
C1,no,Insulin,14.141414141414142,0.14836288245183826,0.21293477825096777,0.18803290170854717,0.160333735875069
C1,no,Insulin,14.646464646464647,0.14836288296205086,0.2129347789746425,0.18803290238285106,0.16033373659575395
C1,no,Insulin,15.151515151515152,0.14836288332952888,0.21293477949602843,0.1880329028700212,0.16033373711876175
C1,no,Insulin,15.656565656565657,0.1483628834956556,0.21293477973399297,0.18803290309386703,0.16033373736400433
C1,no,Insulin,16.161616161616163,0.14836288346043106,0.2129347796885361,0.18803290305438847,0.1603337373314817
C1,no,Insulin,16.666666666666668,0.1483628834100419,0.21293477962070897,0.18803290299350153,0.16033373727419745
C1,no,Insulin,17.171717171717173,0.1483628834391215,0.21293477966319627,0.188032903034165,0.1603337373207459
C1,no,Insulin,17.67676767676768,0.1483628834151344,0.21293477963017102,0.18803290300417314,0.16033373729102868
C1,no,Insulin,18.181818181818183,0.14836288333808062,0.2129347795216332,0.18803290290352592,0.16033373718504576
C1,no,Insulin,18.68686868686869,0.14836288324997143,0.2129347793993197,0.18803290279186613,0.1603337370723445
C1,no,Insulin,19.191919191919194,0.14836288321342186,0.21293477934669622,0.18803290274188403,0.1603337370164989
C1,no,Insulin,19.6969696969697,0.14836288317687227,0.21293477929407276,0.18803290269190193,0.16033373696065328
C1,no,Insulin,20.202020202020204,0.1483628831403227,0.2129347792414493,0.18803290264191982,0.16033373690480768
C1,no,Insulin,20.70707070707071,0.1483628831049513,0.2129347791905218,0.1880329025935477,0.1603337368507592
C1,no,Insulin,21.212121212121215,0.14836288310381426,0.21293477918887282,0.18803290259195604,0.16033373684892782
C1,no,Insulin,21.71717171717172,0.14836288310267723,0.2129347791872238,0.18803290259036437,0.16033373684709645
C1,no,Insulin,22.222222222222225,0.1483628831015402,0.2129347791855748,0.1880329025887727,0.16033373684526508
C1,no,Insulin,22.72727272727273,0.14836288310040316,0.21293477918392578,0.18803290258718103,0.16033373684343374
C1,no,Insulin,23.232323232323235,0.14836288309926612,0.21293477918227677,0.18803290258558936,0.16033373684160238
C1,no,Insulin,23.73737373737374,0.1483628830981291,0.21293477918062778,0.18803290258399769,0.160333736839771
C1,no,Insulin,24.242424242424242,0.14836288309699205,0.21293477917897877,0.18803290258240601,0.16033373683793967
C1,no,Insulin,24.747474747474747,0.14836288309585502,0.21293477917732975,0.18803290258081434,0.1603337368361083
C1,no,Insulin,25.252525252525253,0.14836288309471798,0.21293477917568074,0.18803290257922264,0.16033373683427693
C1,no,Insulin,25.757575757575758,0.14836288309358095,0.21293477917403172,0.18803290257763097,0.16033373683244556
C1,no,Insulin,26.262626262626263,0.14836288309244391,0.21293477917238274,0.1880329025760393,0.16033373683061422
C1,no,Insulin,26.767676767676768,0.14836288309130688,0.21293477917073372,0.18803290257444763,0.16033373682878285
C1,no,Insulin,27.272727272727273,0.14836288309016982,0.2129347791690847,0.18803290257285596,0.16033373682695148
C1,no,Insulin,27.77777777777778,0.14836288308903278,0.2129347791674357,0.1880329025712643,0.16033373682512014
C1,no,Insulin,28.282828282828284,0.14836288308789575,0.21293477916578668,0.18803290256967262,0.16033373682328877
C1,no,Insulin,28.78787878787879,0.1483628830867587,0.2129347791641377,0.18803290256808095,0.1603337368214574
C1,no,Insulin,29.292929292929294,0.14836288308562168,0.21293477916248868,0.18803290256648927,0.16033373681962604
C1,no,Insulin,29.7979797979798,0.14836288308448464,0.21293477916083967,0.18803290256489757,0.1603337368177947
C1,no,Insulin,30.303030303030305,0.1483628830833476,0.21293477915919065,0.1880329025633059,0.16033373681596333
C1,no,Insulin,30.80808080808081,0.14836288308221057,0.21293477915754164,0.18803290256171423,0.16033373681413196
C1,no,Insulin,31.313131313131315,0.14836288308107354,0.21293477915589262,0.18803290256012256,0.16033373681230062
C1,no,Insulin,31.81818181818182,0.1483628830799365,0.21293477915424364,0.1880329025585309,0.16033373681046925
C1,no,Insulin,32.323232323232325,0.14836288307879947,0.21293477915259462,0.18803290255693922,0.16033373680863788
C1,no,Insulin,32.82828282828283,0.14836288307766243,0.2129347791509456,0.18803290255534755,0.16033373680680651
C1,no,Insulin,33.333333333333336,0.1483628830765254,0.2129347791492966,0.18803290255375588,0.16033373680497517
C1,no,Insulin,33.83838383838384,0.14836288307538836,0.21293477914764758,0.1880329025521642,0.1603337368031438
C1,no,Insulin,34.343434343434346,0.1483628830742513,0.2129347791459986,0.1880329025505725,0.16033373680131244
C1,no,Insulin,34.84848484848485,0.14836288307311427,0.21293477914434958,0.18803290254898083,0.1603337367994811
C1,no,Insulin,35.35353535353536,0.14836288307197723,0.21293477914270056,0.18803290254738916,0.16033373679764973
C1,no,Insulin,35.85858585858586,0.1483628830708402,0.21293477914105155,0.1880329025457975,0.16033373679581836
C1,no,Insulin,36.36363636363637,0.14836288306970316,0.21293477913940254,0.18803290254420582,0.16033373679398702
C1,no,Insulin,36.86868686868687,0.14836288306856613,0.21293477913775355,0.18803290254261415,0.16033373679215565
C1,no,Insulin,37.37373737373738,0.1483628830674291,0.21293477913610454,0.18803290254102248,0.16033373679032428
C1,no,Insulin,37.87878787878788,0.14836288306629206,0.21293477913445552,0.1880329025394308,0.16033373678849291
C1,no,Insulin,38.38383838383839,0.14836288306515502,0.2129347791328065,0.18803290253783914,0.16033373678666157
C1,no,Insulin,38.88888888888889,0.148362883064018,0.2129347791311575,0.18803290253624744,0.1603337367848302
C1,no,Insulin,39.3939393939394,0.14836288306288095,0.2129347791295085,0.18803290253465577,0.16033373678299884
C1,no,Insulin,39.8989898989899,0.14836288306174392,0.2129347791278595,0.1880329025330641,0.1603337367811675
C1,no,Insulin,40.40404040404041,0.14836288306060688,0.21293477912621048,0.18803290253147242,0.16033373677933613
C1,no,Insulin,40.909090909090914,0.14836288305946985,0.21293477912456146,0.18803290252988075,0.16033373677750476
C1,no,Insulin,41.41414141414142,0.14836288305833278,0.21293477912291245,0.18803290252828908,0.1603337367756734
C1,no,Insulin,41.919191919191924,0.14836288305719575,0.21293477912126346,0.1880329025266974,0.16033373677384205
C1,no,Insulin,42.42424242424243,0.14836288305668544,0.21293477912052314,0.18803290252598243,0.1603337367730185
C1,no,Insulin,42.929292929292934,0.14836288305665027,0.21293477912047173,0.18803290252593208,0.160333736772959
C1,no,Insulin,43.43434343434344,0.1483628830566151,0.21293477912042036,0.18803290252588173,0.16033373677289953
C1,no,Insulin,43.939393939393945,0.1483628830565799,0.21293477912036898,0.18803290252583138,0.16033373677284005
C1,no,Insulin,44.44444444444445,0.14836288305654474,0.21293477912031758,0.18803290252578103,0.16033373677278057
C1,no,Insulin,44.949494949494955,0.14836288305650955,0.2129347791202662,0.18803290252573068,0.16033373677272109
C1,no,Insulin,45.45454545454546,0.14836288305647438,0.21293477912021483,0.18803290252568033,0.1603337367726616
C1,no,Insulin,45.959595959595966,0.14836288305643922,0.21293477912016343,0.18803290252562999,0.16033373677260213
C1,no,Insulin,46.46464646464647,0.14836288305640402,0.21293477912011205,0.18803290252557964,0.16033373677254265
C1,no,Insulin,46.969696969696976,0.14836288305636885,0.21293477912006065,0.1880329025255293,0.16033373677248317
C1,no,Insulin,47.47474747474748,0.14836288305633366,0.21293477912000927,0.18803290252547894,0.16033373677242369
C1,no,Insulin,47.979797979797986,0.1483628830562985,0.2129347791199579,0.1880329025254286,0.1603337367723642
C1,no,Insulin,48.484848484848484,0.14836288305626333,0.2129347791199065,0.18803290252537824,0.16033373677230472
C1,no,Insulin,48.98989898989899,0.14836288305622813,0.21293477911985512,0.1880329025253279,0.16033373677224524
C1,no,Insulin,49.494949494949495,0.14836288305619297,0.21293477911980374,0.18803290252527755,0.16033373677218576
C1,no,Insulin,50.0,0.14836288305615777,0.21293477911975234,0.1880329025252272,0.16033373677212628
