,,,Slide ID,a,b,d,c
,,,Antibody Name,a,b,d,c
,,,HUGO ID,a,b,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.22081969292683634,0.04999599142069777,0.18839085435047076,0.6153982341428581
C1,no,Insulin,0.5050505050505051,0.19612116350843636,0.12030050541044554,0.11259844854155225,0.3461375400498124
C1,no,Insulin,1.0101010101010102,0.18071170142628293,0.1462471544547418,0.0714126599500544,0.2064552751777872
C1,no,Insulin,1.5151515151515151,0.17095051642917744,0.15709906176849103,0.04835701794688487,0.13212305425162377
C1,no,Insulin,2.0202020202020203,0.1647004584504475,0.16242417842585663,0.035036677680978866,0.09136826720030057
C1,no,Insulin,2.5252525252525255,0.1606687973462072,0.16544211951616888,0.027103559938021805,0.06829920820124684
C1,no,Insulin,3.0303030303030303,0.15805503636154902,0.16731810732816174,0.02225221839387031,0.05483027459568465
C1,no,Insulin,3.5353535353535355,0.15635479844069314,0.16853673150309878,0.019222514048823722,0.046747245073948514
C1,no,Insulin,4.040404040404041,0.1552463246465207,0.16934031960545978,0.017301136317818572,0.04178588041487899
C1,no,Insulin,4.545454545454546,0.15452258207953481,0.16987106882029498,0.016069775063830602,0.03868739796166356
C1,no,Insulin,5.050505050505051,0.15404957628261823,0.17022043778299936,0.015275269211658943,0.03672766785115113
C1,no,Insulin,5.555555555555556,0.15374024242100123,0.17044938595779827,0.014760506979651176,0.03547705132601625
C1,no,Insulin,6.0606060606060606,0.15353786067310604,0.17059880733706437,0.014426188872744893,0.03467403601621226
C1,no,Insulin,6.565656565656566,0.15340541581894948,0.1706960075856318,0.014208777481590003,0.03415626869170288
C1,no,Insulin,7.070707070707071,0.15331872444290154,0.17075908317140034,0.014067300130273012,0.03382148763175455
C1,no,Insulin,7.575757575757576,0.15326197374131595,0.17079994321488026,0.013975209561718754,0.0336046133250653
C1,no,Insulin,8.080808080808081,0.15322482017773928,0.17082638150858953,0.013915261236541514,0.03346394267397
C1,no,Insulin,8.585858585858587,0.15320049583602272,0.1708434738883972,0.013876238661990253,0.033372624454522215
C1,no,Insulin,9.090909090909092,0.15318456918690407,0.1708545180831055,0.013850837422847545,0.033313304300659166
C1,no,Insulin,9.595959595959597,0.15317414137104748,0.17086165279287827,0.013834304748583773,0.033274756921938216
C1,no,Insulin,10.101010101010102,0.1531673134839849,0.17086626052902057,0.01382354458945619,0.03324969936260917
C1,no,Insulin,10.606060606060607,0.15316284314975206,0.1708692358559497,0.013816542389445768,0.03323340908511723
C1,no,Insulin,11.111111111111112,0.15315991579221847,0.17087115975675227,0.013811985010857047,0.033222814415331585
C1,no,Insulin,11.616161616161618,0.15315799896916069,0.17087239642853427,0.013809019070243757,0.03321592364215033
C1,no,Insulin,12.121212121212121,0.1531567439903521,0.17087320051175867,0.013807088994060567,0.033211441973336496
C1,no,Insulin,12.626262626262626,0.15315592223691807,0.17087371809807658,0.01380583295771856,0.03320852642964498
C1,no,Insulin,13.131313131313131,0.15315538419735544,0.17087404988172192,0.013805015489878336,0.03320662974482932
C1,no,Insulin,13.636363636363637,0.15315503191758148,0.17087426600060496,0.013804483476330507,0.033205395735219016
C1,no,Insulin,14.141414141414142,0.15315480129938686,0.17087440556602096,0.013804137273063951,0.03320459292867958
C1,no,Insulin,14.646464646464647,0.15315465028759895,0.17087449571442717,0.013803911909518123,0.033204070463009216
C1,no,Insulin,15.151515151515152,0.1531545510891404,0.17087455406722962,0.01380376472199768,0.033203729310146445
C1,no,Insulin,15.656565656565657,0.15315448664156764,0.1708745914528658,0.01380366967454297,0.033203509056665324
C1,no,Insulin,16.161616161616163,0.1531544448385644,0.17087461534855541,0.013803608391738222,0.03320336707521537
C1,no,Insulin,16.666666666666668,0.15315441674623492,0.17087463121601643,0.013803567373537726,0.03320327205440578
C1,no,Insulin,17.171717171717173,0.1531543978856624,0.170874641758991,0.013803539937482068,0.0332032085041252
C1,no,Insulin,17.67676767676768,0.15315438575133852,0.17087464846254125,0.013803522423333046,0.03320316794814886
C1,no,Insulin,18.181818181818183,0.1531543781712102,0.17087465262503704,0.013803511588286467,0.033203142868277705
C1,no,Insulin,18.68686868686869,0.15315437308067245,0.17087465543202227,0.013803504349042206,0.0332031261144407
C1,no,Insulin,19.191919191919194,0.15315436986272968,0.1708746571801038,0.013803499804031201,0.03320311559753271
C1,no,Insulin,19.6969696969697,0.1531543678449285,0.17087465820920572,0.013803496974441944,0.03320310905062899
C1,no,Insulin,20.202020202020204,0.15315436650727482,0.17087465880299163,0.013803495105448609,0.03320310472643749
C1,no,Insulin,20.70707070707071,0.1531543655995823,0.17087465913678734,0.013803493839274173,0.03320310179725477
C1,no,Insulin,21.212121212121215,0.15315436498722712,0.17087465933484133,0.013803492986305448,0.03320309982436711
C1,no,Insulin,21.71717171717172,0.15315436458099518,0.17087465949213532,0.013803492422133405,0.033203098519803104
C1,no,Insulin,22.222222222222225,0.15315436427145548,0.1708746596428194,0.01380349199316024,0.03320309752793659
C1,no,Insulin,22.72727272727273,0.15315436397782373,0.17087465974147034,0.013803491585628727,0.03320309658556442
C1,no,Insulin,23.232323232323235,0.1531543637705883,0.1708746598345591,0.013803491298833376,0.033203095922409616
C1,no,Insulin,23.73737373737374,0.1531543636497492,0.1708746599220857,0.013803491132774187,0.0332030955384722
C1,no,Insulin,24.242424242424242,0.1531543636153064,0.17087466000405008,0.01380349108745116,0.03320309543375217
C1,no,Insulin,24.747474747474747,0.1531543636092144,0.1708746600712122,0.01380349108140803,0.03320309541986275
C1,no,Insulin,25.252525252525253,0.15315436355771833,0.17087466011183108,0.013803491011143584,0.03320309525743304
C1,no,Insulin,25.757575757575758,0.15315436353612968,0.17087466013789546,0.013803490982343538,0.03320309519088613
C1,no,Insulin,26.262626262626263,0.15315436354444847,0.1708746601494053,0.013803490995007892,0.03320309522022201
C1,no,Insulin,26.767676767676768,0.15315436358267467,0.17087466014636063,0.013803491049136645,0.03320309534544068
C1,no,Insulin,27.272727272727273,0.15315436357412965,0.170874660188735,0.01380349103996684,0.03320309532435487
C1,no,Insulin,27.77777777777778,0.15315436360451498,0.1708746601708828,0.013803491081953922,0.03320309542144118
C1,no,Insulin,28.282828282828284,0.15315436363490034,0.1708746601530306,0.013803491123941006,0.0332030955185275
C1,no,Insulin,28.78787878787879,0.1531543636652857,0.17087466013517838,0.013803491165928088,0.03320309561561381
C1,no,Insulin,29.292929292929294,0.15315436369567104,0.1708746601173262,0.01380349120791517,0.03320309571270013
C1,no,Insulin,29.7979797979798,0.15315436371230853,0.17087466010761498,0.013803491230892067,0.03320309576582852
C1,no,Insulin,30.303030303030305,0.15315436371420071,0.17087466010663543,0.013803491233479534,0.03320309577180971
C1,no,Insulin,30.80808080808081,0.1531543637160929,0.1708746601056559,0.013803491236066999,0.033203095777790896
C1,no,Insulin,31.313131313131315,0.15315436371798505,0.17087466010467636,0.013803491238654464,0.033203095783772084
C1,no,Insulin,31.81818181818182,0.15315436371987723,0.17087466010369684,0.01380349124124193,0.033203095789753265
C1,no,Insulin,32.323232323232325,0.1531543637217694,0.1708746601027173,0.013803491243829395,0.03320309579573445
C1,no,Insulin,32.82828282828283,0.15315436372366156,0.17087466010173777,0.01380349124641686,0.03320309580171564
C1,no,Insulin,33.333333333333336,0.15315436372555374,0.17087466010075822,0.013803491249004325,0.03320309580769683
C1,no,Insulin,33.83838383838384,0.15315436372744592,0.1708746600997787,0.013803491251591792,0.033203095813678016
C1,no,Insulin,34.343434343434346,0.1531543637293381,0.17087466009879915,0.013803491254179257,0.033203095819659204
C1,no,Insulin,34.84848484848485,0.15315436373123026,0.17087466009781963,0.013803491256766722,0.03320309582564039
C1,no,Insulin,35.35353535353536,0.15315436373312244,0.17087466009684008,0.013803491259354187,0.03320309583162158
C1,no,Insulin,35.85858585858586,0.15315436373501462,0.17087466009586055,0.013803491261941653,0.03320309583760276
C1,no,Insulin,36.36363636363637,0.15315436373690677,0.170874660094881,0.013803491264529118,0.03320309584358395
C1,no,Insulin,36.86868686868687,0.15315436373879895,0.17087466009390148,0.013803491267116583,0.033203095849565135
C1,no,Insulin,37.37373737373738,0.15315436374069114,0.17087466009292193,0.013803491269704048,0.03320309585554632
C1,no,Insulin,37.87878787878788,0.1531543637425833,0.1708746600919424,0.013803491272291515,0.03320309586152751
C1,no,Insulin,38.38383838383839,0.15315436374447547,0.17087466009096286,0.01380349127487898,0.0332030958675087
C1,no,Insulin,38.88888888888889,0.15315436374636765,0.17087466008998334,0.013803491277466445,0.033203095873489887
C1,no,Insulin,39.3939393939394,0.1531543637482598,0.1708746600890038,0.01380349128005391,0.03320309587947107
C1,no,Insulin,39.8989898989899,0.15315436375015198,0.17087466008802427,0.013803491282641377,0.033203095885452255
C1,no,Insulin,40.40404040404041,0.15315436375204416,0.17087466008704472,0.013803491285228842,0.03320309589143344
C1,no,Insulin,40.909090909090914,0.15315436375393635,0.1708746600860652,0.013803491287816307,0.03320309589741463
C1,no,Insulin,41.41414141414142,0.1531543637558285,0.17087466008508564,0.013803491290403772,0.03320309590339582
C1,no,Insulin,41.919191919191924,0.15315436375772068,0.17087466008410612,0.013803491292991238,0.033203095909377006
C1,no,Insulin,42.42424242424243,0.15315436375961286,0.17087466008312657,0.013803491295578703,0.033203095915358194
C1,no,Insulin,42.929292929292934,0.153154363761505,0.17087466008214702,0.013803491298166168,0.03320309592133938
C1,no,Insulin,43.43434343434344,0.1531543637633972,0.1708746600811675,0.013803491300753635,0.03320309592732056
C1,no,Insulin,43.939393939393945,0.15315436376528938,0.17087466008018795,0.0138034913033411,0.03320309593330175
C1,no,Insulin,44.44444444444445,0.15315436376718153,0.17087466007920843,0.013803491305928565,0.03320309593928294
C1,no,Insulin,44.949494949494955,0.1531543637690737,0.17087466007822888,0.01380349130851603,0.033203095945264126
C1,no,Insulin,45.45454545454546,0.1531543637709659,0.17087466007724936,0.013803491311103496,0.033203095951245314
C1,no,Insulin,45.959595959595966,0.15315436377285804,0.1708746600762698,0.013803491313690961,0.0332030959572265
C1,no,Insulin,46.46464646464647,0.15315436377475022,0.17087466007529029,0.013803491316278426,0.03320309596320769
C1,no,Insulin,46.969696969696976,0.1531543637766424,0.17087466007431074,0.013803491318865891,0.03320309596918888
C1,no,Insulin,47.47474747474748,0.15315436377853459,0.1708746600733312,0.013803491321453358,0.03320309597517006
C1,no,Insulin,47.979797979797986,0.15315436377879021,0.17087466007320265,0.013803491321801423,0.033203095975974546
C1,no,Insulin,48.484848484848484,0.15315436377890804,0.17087466007314575,0.013803491321960928,0.03320309597634315
C1,no,Insulin,48.98989898989899,0.15315436377902586,0.17087466007308885,0.013803491322120434,0.03320309597671175
C1,no,Insulin,49.494949494949495,0.15315436377914368,0.17087466007303195,0.013803491322279938,0.03320309597708035
C1,no,Insulin,50.0,0.15315436377926153,0.17087466007297505,0.013803491322439443,0.03320309597744895
