NON $ % + - . 0 1 2
#NON	d	f	h	c	g	b	e	a
0.0	0.060925923968196294	0.38358002793190016	0.7532253503522733	0.4542186547674105	0.7458117202502518	0.2453050096696613	0.22414247971579726	0.5672862037744943
0.5050505050505051	0.11289675985404238	0.1441139448347562	0.4664528256316084	0.27670749091901514	0.3110459119748514	0.10421601807239325	0.19752642082730962	0.30889725020556114
1.0101010101010102	0.11702692980766967	0.06440936228106363	0.2989519320644642	0.17339897742433788	0.15032694070776956	0.054308509104416564	0.17653057799444466	0.17759491662691773
1.5151515151515151	0.10445280477946532	0.03383379112159261	0.2003906068781615	0.11250255186797299	0.08583361950679294	0.032004560251147826	0.15719355281823705	0.1084446059725612
2.0202020202020203	0.08861617798548169	0.020142097260833297	0.1408985595540571	0.07635693738755361	0.05651711392932943	0.02031735746538237	0.1394088571427547	0.07087053759864796
2.5252525252525255	0.07425089153950631	0.013167053368998219	0.10370366046880111	0.054514765293965275	0.041091642368482686	0.013677876248804764	0.12379530216408198	0.04963227159725196
3.0303030303030303	0.06254427989509861	0.009268573948053777	0.07962866884617896	0.040945904657002395	0.03189135113699449	0.009733509007075085	0.11069322970013645	0.037046859689772366
3.5353535353535355	0.05343299160959746	0.0069401676808281	0.06357981201054173	0.03224560892322074	0.025925521261269485	0.007305601700942139	0.10005821598386311	0.02921581870879235
4.040404040404041	0.04649242821195899	0.00547686092062106	0.052620003371869215	0.02648992013708388	0.021860519178130085	0.005758890517134483	0.09161229538565756	0.024119570444618002
4.545454545454546	0.04125553951165368	0.004518367358539764	0.044982159833142146	0.022571563180566637	0.01900551310254281	0.004740200320792921	0.08499337322898261	0.020673960581160694
5.050505050505051	0.03731559394752309	0.0038685812430505257	0.03956430729744727	0.019835818869392813	0.01695785820534914	0.00404842102030215	0.0798443503145866	0.018270653634420025
5.555555555555556	0.03434863335944444	0.0034153365100922212	0.0356600991935627	0.017883853067266607	0.015465096794180934	0.0035658627555545945	0.07585270951565894	0.016552135501581754
6.0606060606060606	0.032107454625568896	0.003091684892340739	0.0328068326544902	0.01646537793618626	0.014362078422477808	0.0032214981280168217	0.07276145192470733	0.015298857697155957
6.565656565656566	0.030407455742002255	0.0028561170410990695	0.03069567736073803	0.01541879627027637	0.013537765684239103	0.0029710692160039233	0.07036645349428267	0.014370576430570952
7.070707070707071	0.02911209760178042	0.00268199162829181	0.029116806134720428	0.01463691280447841	0.012915871703270578	0.0027861198067050934	0.06850866121627065	0.013674543408311134
7.575757575757576	0.028120657011838628	0.002551676910359837	0.0279252279833258	0.014046843660227125	0.012443003613499305	0.0026478139513372257	0.06706537461048251	0.013147590928674579
8.080808080808081	0.02735869474408213	0.002453178068972422	0.027019074430013452	0.013597894918229067	0.012081143376935782	0.0025433462504896183	0.0659423487940457	0.012745596931689814
8.585858585858587	0.02677094510419335	0.002378137385918647	0.026325638707879767	0.013254088584743374	0.011802794567157915	0.002463803425982519	0.06506722399321105	0.012437081869818295
9.090909090909092	0.026316140093407395	0.0023206091840635907	0.025792262038748476	0.012989435831483178	0.01158779061770522	0.0024028522147518947	0.06438439078633636	0.01219918359067408
9.595959595959597	0.02596327112781484	0.002276287593333161	0.025380306154113026	0.012784880707447148	0.011421167530200971	0.0023559109668646818	0.06385100826078531	0.01201505497799652
10.101010101010102	0.025688874539316984	0.002242004821236913	0.02506105985847936	0.012626257434835003	0.011291693456800606	0.002319612640678462	0.0634339762742251	0.011872117736794285
10.606060606060607	0.025475100491887368	0.0022154079780613463	0.02481299370538386	0.012502933808608755	0.011190861176673884	0.002291459788525196	0.06310765613905037	0.011760894171835637
11.111111111111112	0.025308318486855486	0.0021947202273291584	0.0246198471205405	0.012406868357103792	0.01111222415824674	0.0022695650915327058	0.06285216070392291	0.011674197417660981
11.616161616161618	0.025178038019084536	0.002178599330589383	0.02446920285609164	0.01233191432563584	0.011050807542059397	0.0022525063326698093	0.06265202327808353	0.011606518010343807
12.121212121212121	0.025076173896343514	0.0021660181903071594	0.02435155479157858	0.01227336025723921	0.011002791602253452	0.0022391949069161766	0.06249519147176924	0.0115536254126464
12.626262626262626	0.024996467001087933	0.0021561878425997677	0.024259580638291957	0.012227573235250878	0.010965222485012673	0.0022287949222409894	0.062372256486773685	0.011512252331601181
13.131313131313131	0.02493405567912842	0.002148499147123703	0.02418761427083758	0.012191739759764446	0.010935806754535878	0.002220661281962704	0.06227586258850232	0.011479865256720083
13.636363636363637	0.024885162999223293	0.0021424810524472396	0.024131267095728774	0.012163679078550878	0.01091276360376646	0.0022142952467558213	0.06220026341358876	0.011454498483395222
14.141414141414142	0.02484684987662134	0.00213776891870257	0.024087130463739496	0.012141696754829035	0.010894704872029457	0.002209311111311477	0.062140973033569046	0.011434623338060036
14.646464646464647	0.02481681739557804	0.0021340766544476323	0.024052544655748197	0.012124469633785747	0.010880550730669436	0.0022054057147277975	0.062094464932645387	0.011419045910723834
15.151515151515152	0.02479327160656629	0.002131182227963965	0.024025438274174138	0.012110966317200888	0.010869458185676495	0.002202343833008164	0.06205797343481896	0.011406834728389468
15.656565656565657	0.024774801531066044	0.002128914691983604	0.024004174992011976	0.012100374266464414	0.010860747579282463	0.0021999461315895035	0.06202935322726366	0.011397255000279265
16.161616161616163	0.024760314522546633	0.0021271366567445866	0.023987498015110496	0.012092067248424562	0.010853912756806708	0.002198066334432278	0.06200690062633998	0.011389741505677146
16.666666666666668	0.024748959327603976	0.0021257393147597167	0.02397443731536114	0.012085558603068265	0.010848574505365383	0.0021965870510318856	0.061989263300172626	0.011383855258653932
17.171717171717173	0.02474004356727355	0.0021246458800060733	0.023964176184963937	0.01208044677481506	0.010844368023164285	0.00219543109031429	0.061975441135926984	0.011379231243627524
17.67676767676768	0.024733049534289998	0.002123787345783689	0.023956129144001203	0.012076437417831334	0.010841071933252913	0.0021945230781196564	0.06196458930691182	0.01137560460620938
18.181818181818183	0.024727566019721182	0.0021231142962422384	0.023949820314433105	0.012073294103896164	0.010838487531302307	0.002193811261144561	0.06195608004250806	0.011372761280406981
18.68686868686869	0.02472326103022776	0.0021225860184127337	0.023944867423036125	0.012070826392672747	0.010836458196419632	0.0021932525966669326	0.06194939960805758	0.011370529023982423
19.191919191919194	0.02471988334032468	0.002122171274567583	0.023940982151797362	0.012068890418095066	0.010834867274216188	0.0021928138646280524	0.06194415552186639	0.011368777813543944
19.6969696969697	0.024717233742707238	0.002121845863108183	0.02393793462959861	0.012067371835408916	0.010833619611984424	0.002192469598305548	0.061940040847355014	0.011367404165418322
20.202020202020204	0.024715153878593795	0.0021215908886990623	0.02393554140549188	0.012066179578439478	0.010832638069473806	0.0021922000736318507	0.06193681438616736	0.011366325580756871
20.70707070707071	0.024713518870193595	0.0021213914065028303	0.02393365795236921	0.012065241866111326	0.010831862057787441	0.0021919896654195633	0.0619342854939748	0.011365477039038636
21.212121212121215	0.024712238977613384	0.0021212334041190877	0.023932187863245028	0.012064508751581302	0.010831263355778673	0.00219182209943692	0.06193229113872425	0.01136481407721382
21.71717171717172	0.024711233046722892	0.002121109796815748	0.023931031131538657	0.012063932279865621	0.010830790076976444	0.0021916912902772176	0.06193072815929381	0.011364292629798522
22.222222222222225	0.0247104435975197	0.002121012910156962	0.023930123066128198	0.012063479811378506	0.01083041808440796	0.0021915888169658985	0.06192950245964044	0.011363883320035973
22.72727272727273	0.024709824553648445	0.0021209369302924983	0.023929411029924	0.012063125014898418	0.010830126420614384	0.00219150845261625	0.06192854126330427	0.011363562366894193
23.232323232323235	0.02470934077274286	0.0021208775297976356	0.02392885463137702	0.012062847754888079	0.010829898595025601	0.002191445613181189	0.06192778990320379	0.011363311559224954
23.73737373737374	0.02470895953101298	0.0021208306793154253	0.023928416258404986	0.012062629281584143	0.010829719250813068	0.0021913960304931097	0.06192719747744886	0.011363113939142218
24.242424242424242	0.02470865948909586	0.0021207937187946047	0.023928071458722857	0.012062457384566704	0.010829578526774564	0.002191356871114866	0.06192673053707633	0.011362958470901895
24.747474747474747	0.02470842474499197	0.002120764573723932	0.023927802222212323	0.012062323011145385	0.01082946950791478	0.0021913258812347727	0.06192636342247897	0.011362836994687365
25.252525252525253	0.024708238850919648	0.0021207423088516024	0.023927587140424336	0.012062216196369798	0.010829379313791406	0.0021913026006375627	0.06192607908867318	0.011362740235933708
25.757575757575758	0.024708093934270772	0.0021207245436019482	0.023927420408241095	0.012062133130249774	0.01082931093383966	0.002191283820732776	0.061925854224914714	0.011362665087732003
26.262626262626263	0.024707980137019494	0.002120710608161935	0.023927289446887302	0.012062067894326317	0.010829257169236935	0.0021912690964970296	0.06192567776735087	0.0113626060665751
26.767676767676768	0.02470789074723142	0.002120699646184606	0.023927186610080944	0.012062016658011413	0.01082921500965151	0.002191257506447589	0.06192553903597914	0.011362559715045104
27.272727272727273	0.02470782056202266	0.002120691038792533	0.023927105868119376	0.012061976429603204	0.010829181910282775	0.0021912484056260248	0.0619254301060181	0.01136252332206407
27.77777777777778	0.0247077655557505	0.002120684289540692	0.02392704259597113	0.012061944903068573	0.010829155985278073	0.0021912412678159053	0.06192534470768118	0.011362494802117665
28.282828282828284	0.024707722086909283	0.002120678942413241	0.023926992625821774	0.012061919995872836	0.010829135561475299	0.0021912356062925237	0.061925277114992204	0.011362472273485738
28.78787878787879	0.024707687905427645	0.0021206747071369878	0.02392695340185371	0.012061900425454835	0.010829119645119845	0.0021912311071803745	0.06192522372303359	0.011362454579326376
29.292929292929294	0.024707662276948105	0.0021206714246804945	0.02392692423672238	0.012061885805188537	0.010829108214423285	0.0021912275688034818	0.06192518284961626	0.011362441386425563
29.7979797979798	0.02470764276313408	0.002120668555782174	0.023926902873806336	0.01206187485691101	0.010829101249830744	0.0021912243042078155	0.06192514882102374	0.01136243159612821
30.303030303030305	0.024707628087265412	0.002120666262924995	0.023926887116086582	0.01206186669020706	0.010829096648354549	0.0021912216402572666	0.06192512216544388	0.011362424326352054
30.80808080808081	0.024707612646028377	0.002120665508433973	0.023926866751559323	0.01206185727329907	0.010829084006399635	0.0021912213962568105	0.06192510716035311	0.011362415533903826
31.313131313131315	0.024707602388561678	0.002120664319808321	0.02392685479322889	0.012061851359504114	0.01082907884330267	0.0021912201731498207	0.06192509178610288	0.011362410167299903
31.81818181818182	0.024707594536768265	0.0021206632742762216	0.023926845949223313	0.01206184690012024	0.010829075529455336	0.0021912190274954836	0.06192507895039287	0.011362406152899154
32.323232323232325	0.024707588211953208	0.002120662497130743	0.02392683867647525	0.01206184327563335	0.010829072553665492	0.0021912182050772572	0.06192506912241691	0.011362402874330182
32.82828282828283	0.0247075831432843	0.0021206618785588856	0.023926832838476263	0.012061840368890001	0.01082907014896975	0.0021912175525233752	0.061925061279555806	0.011362400243988978
33.333333333333336	0.024707579198751856	0.002120661408225815	0.023926828269981035	0.012061838101314762	0.010829068225541031	0.002191217061754547	0.061925055262970284	0.011362398189386873
