,,,Slide ID,a,b,d,e,c
,,,Antibody Name,a,b,d,e,c
,,,HUGO ID,a,b,d,e,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.07290062611501869,0.6745505167149191,0.8129475202064965,0.7565314788062621,0.5979316222407514
C1,no,Insulin,0.33557046979865773,0.14310080551538618,0.4446879347298912,0.5053299329008316,0.3780911972841903,0.44527773625374095
C1,no,Insulin,0.6711409395973155,0.17924743973713875,0.3126644010364635,0.34119858522221536,0.20032778243520521,0.3492328339997648
C1,no,Insulin,1.0067114093959733,0.19577401175994041,0.23571478321184186,0.2521339824630449,0.11511899863076101,0.28723112149010627
C1,no,Insulin,1.342281879194631,0.20170614486463095,0.1899813350623751,0.2025969688508581,0.07332491986929261,0.24645494810413335
C1,no,Insulin,1.6778523489932886,0.202406255313045,0.1621521854088271,0.17414790159357446,0.052254177792341115,0.21933823193637972
C1,no,Insulin,2.0134228187919465,0.20083392107418802,0.14478162881966397,0.15720204317878028,0.04128082555334564,0.20118633369079317
C1,no,Insulin,2.348993288590604,0.1985074021788944,0.13367160130861108,0.14673417225752924,0.03534917766664134,0.18897681532277374
C1,no,Insulin,2.684563758389262,0.19614931957029802,0.12641557079060242,0.14005792545659515,0.03200929373329662,0.1807287110761313
C1,no,Insulin,3.0201342281879198,0.1940657040785024,0.12159845216745685,0.1356911500838861,0.03004833449127537,0.17513419645854836
C1,no,Insulin,3.3557046979865772,0.1923525630182512,0.11836209480429945,0.1327821871466653,0.028850319477826954,0.17132590794492555
C1,no,Insulin,3.691275167785235,0.19100580547851986,0.11616970219878835,0.13082004651083817,0.028092523649118496,0.16872574960146763
C1,no,Insulin,4.026845637583893,0.18997915706965737,0.11467627936616603,0.1294857977714123,0.027599509065729742,0.16694625961923093
C1,no,Insulin,4.3624161073825505,0.18921386655794842,0.11365531257703478,0.12857391669869714,0.02727187106621079,0.16572626552281436
C1,no,Insulin,4.697986577181208,0.18865297028862543,0.11295573961135562,0.12794880635999828,0.0270508287250878,0.16488880837192785
C1,no,Insulin,5.033557046979866,0.18824722811849529,0.11247570470342086,0.12751953110983236,0.02690018118391657,0.1643134556547658
C1,no,Insulin,5.369127516778524,0.1879567262778337,0.11214603232733987,0.1272244622541655,0.02679684865451698,0.16391796664854022
C1,no,Insulin,5.704697986577181,0.1877504269002016,0.11191951291255327,0.1270215498103062,0.02672569887878517,0.163646032231404
C1,no,Insulin,6.0402684563758395,0.18760487776922252,0.11176382869356771,0.12688198691208374,0.026676606781035513,0.16345902593792908
C1,no,Insulin,6.375838926174497,0.18750272615902208,0.11165681555907601,0.12678599482658867,0.026642702729712107,0.16333041936200768
C1,no,Insulin,6.7114093959731544,0.18743133522370675,0.11158325753235492,0.12671997836035248,0.026619283670264372,0.16324198100495485
C1,no,Insulin,7.046979865771813,0.18738161141696263,0.11153269153085027,0.12667457790814293,0.026603107999521054,0.1631811640244255
C1,no,Insulin,7.38255033557047,0.18734707200394332,0.11149793378695069,0.1266433608031527,0.02659194151137619,0.16313934689167153
C1,no,Insulin,7.718120805369128,0.18732313230671607,0.11147404399494874,0.12662189918419825,0.02658423724147216,0.16311059746915968
C1,no,Insulin,8.053691275167786,0.18730656928477563,0.11145762410573867,0.12660714535616643,0.026578923840691902,0.16309083330335528
C1,no,Insulin,8.389261744966444,0.1872951260743172,0.11144634046274315,0.12659700529103826,0.02657526261643718,0.16307724868021858
C1,no,Insulin,8.724832214765101,0.18728722898509703,0.11143858445435889,0.12659003451939344,0.026572739446409237,0.16306790998508694
C1,no,Insulin,9.060402684563758,0.1872817840121183,0.11143325456170503,0.12658524380416644,0.026571001809475827,0.16306149183369142
C1,no,Insulin,9.395973154362416,0.18727803238052487,0.11142959269593446,0.12658195239435024,0.02656980659733704,0.16305708132449925
C1,no,Insulin,9.731543624161075,0.18727544944527827,0.11142707583553263,0.12657968989036622,0.026568983344768562,0.16305405016631802
C1,no,Insulin,10.067114093959733,0.187273671712793,0.1114253466958697,0.12657813540901194,0.02656841718622485,0.16305196767671787
C1,no,Insulin,10.40268456375839,0.18727244827896572,0.11142415895861292,0.12657706802337773,0.026568028607899474,0.1630505361157268
C1,no,Insulin,10.738255033557047,0.18727160664861034,0.11142334230160311,0.12657633402024127,0.02656776084699696,0.1630495520039073
C1,no,Insulin,11.073825503355705,0.1872710286789893,0.11142278113711845,0.12657582919259877,0.026567576283852354,0.16304887699458634
C1,no,Insulin,11.409395973154362,0.18727063115484138,0.11142239581616514,0.12657548275787678,0.026567449901503334,0.16304841296751768
C1,no,Insulin,11.74496644295302,0.18727035790217486,0.11142213174621224,0.12657524562631267,0.026567363276593026,0.1630480941024475
C1,no,Insulin,12.080536912751679,0.18727017026523057,0.1114219497591179,0.12657508190276098,0.02656730337422766,0.16304787521513156
C1,no,Insulin,12.416107382550337,0.18727004110382603,0.11142182462983051,0.12657496938251614,0.026567262234082397,0.16304772457269626
