,,,Slide ID,a,b,d,e,c
C1,no,Insulin,12.751677852348994,0.1872699518660992,0.11142173824848038,0.12657489171907693,0.026567233818144288,0.1630476205342438
C1,no,Insulin,13.087248322147651,0.18726989070015812,0.11142167897948412,0.12657483841306166,0.026567214328151314,0.16304754921169054
C1,no,Insulin,13.422818791946309,0.18726984892876936,0.11142163856066392,0.12657480207759278,0.026567201036741178,0.16304750052171654
C1,no,Insulin,13.758389261744966,0.18726982014685262,0.1114216107573307,0.12657477709546386,0.02656719189003922,0.16304746698953523
C1,no,Insulin,14.093959731543626,0.1872698006613592,0.11142159195496963,0.12657476020577388,0.02656718570186827,0.16304744429732299
C1,no,Insulin,14.429530201342283,0.1872697873475912,0.11142157909921843,0.12657474865503615,0.026567181471237128,0.163047428790755
C1,no,Insulin,14.76510067114094,0.18726977832644048,0.11142157036312655,0.1265747407989948,0.026567178598710085,0.16304741827534458
C1,no,Insulin,15.100671140939598,0.18726977203457745,0.11142156424058731,0.12657473528589222,0.026567176588982624,0.16304741093001748
C1,no,Insulin,15.436241610738255,0.18726976760686953,0.11142155991844135,0.12657473139083678,0.026567175172117298,0.1630474057552342
C1,no,Insulin,15.771812080536913,0.18726976456625144,0.11142155694958175,0.12657472871541312,0.026567174199298833,0.16304740220071787
C1,no,Insulin,16.107382550335572,0.1872697624417264,0.11142155489238136,0.12657472686586596,0.026567173523328182,0.16304739972350457
C1,no,Insulin,16.44295302013423,0.18726976093747838,0.11142155345555478,0.12657472557886676,0.026567173048722137,0.16304739797735984
C1,no,Insulin,16.778523489932887,0.18726975989161973,0.11142155247318722,0.1265747247029231,0.026567172721969835,0.1630473967701263
C1,no,Insulin,17.114093959731544,0.1872697591563916,0.11142155178501079,0.12657472408975542,0.0265671724925469,0.1630473959227481
C1,no,Insulin,17.449664429530202,0.18726975864531437,0.11142155129781678,0.12657472365339564,0.02656717233121045,0.1630473953303561
C1,no,Insulin,17.78523489932886,0.18726975830344922,0.11142155095795821,0.12657472334557637,0.026567172220496864,0.16304739492855025
C1,no,Insulin,18.120805369127517,0.18726975802056875,0.11142155067427185,0.12657472308807244,0.02656717212841859,0.16304739459505208
C1,no,Insulin,18.456375838926174,0.1872697576858954,0.11142155035804015,0.126574722805438,0.02656717202320255,0.1630473942084311
C1,no,Insulin,18.79194630872483,0.18726975741809898,0.1114215501041925,0.12657472257837507,0.026567171938871443,0.16304739389871423
C1,no,Insulin,19.12751677852349,0.18726975721717948,0.11142154991272886,0.12657472240688367,0.026567171875425264,0.1630473936659015
C1,no,Insulin,19.46308724832215,0.18726975708313687,0.11142154978364927,0.12657472229096378,0.02656717183286401,0.16304739350999292
C1,no,Insulin,19.798657718120808,0.1872697570159712,0.11142154971695371,0.1265747222306154,0.02656717181118769,0.16304739343098845
C1,no,Insulin,20.134228187919465,0.18726975701568244,0.11142154971264219,0.12657472222583854,0.026567171810396296,0.1630473934288881
C1,no,Insulin,20.469798657718123,0.1872697570822706,0.1114215497707147,0.1265747222766332,0.02656717183048983,0.1630473935036919
C1,no,Insulin,20.80536912751678,0.18726975713817814,0.11142154981952855,0.12657472231934375,0.026567171847370577,0.163047393566521
C1,no,Insulin,21.140939597315437,0.18726975710083094,0.11142154978280693,0.12657472228619712,0.026567171835382094,0.16304739352274764
C1,no,Insulin,21.476510067114095,0.18726975708122606,0.11142154976308195,0.12657472226829464,0.026567171829012057,0.16304739349957154
C1,no,Insulin,21.812080536912752,0.18726975707936358,0.11142154976035365,0.12657472226563632,0.02656717182826046,0.16304739349699268
C1,no,Insulin,22.14765100671141,0.18726975709524346,0.11142154977462199,0.12657472227822214,0.026567171833127314,0.1630473935150111
C1,no,Insulin,22.483221476510067,0.1872697571288657,0.11142154980588699,0.1265747223060521,0.026567171843612607,0.1630473935536268
C1,no,Insulin,22.818791946308725,0.1872697571802303,0.11142154985414865,0.12657472234912623,0.02656717185971635,0.16304739361283974
C1,no,Insulin,23.154362416107382,0.18726975724933728,0.11142154991940698,0.1265747224074445,0.026567171881438534,0.16304739369264992
C1,no,Insulin,23.48993288590604,0.18726975728817155,0.11142154995289205,0.12657472243664514,0.026567171893099907,0.16304739373609278
C1,no,Insulin,23.8255033557047,0.1872697573115358,0.11142154997560735,0.12657472245709275,0.02656717190055533,0.1630473937633634
C1,no,Insulin,24.161073825503358,0.18726975733490006,0.11142154999832267,0.12657472247754037,0.026567171908010747,0.16304739379063404
C1,no,Insulin,24.496644295302016,0.1872697573582643,0.11142155002103797,0.126574722497988,0.02656717191546617,0.16304739381790465
C1,no,Insulin,24.832214765100673,0.18726975738162854,0.11142155004375329,0.12657472251843563,0.02656717192292159,0.16304739384517528
C1,no,Insulin,25.16778523489933,0.1872697574049928,0.11142155006646859,0.12657472253888324,0.026567171930377012,0.1630473938724459
C1,no,Insulin,25.503355704697988,0.18726975742835705,0.1114215500891839,0.12657472255933086,0.026567171937832434,0.16304739389971654
C1,no,Insulin,25.838926174496645,0.1872697574517213,0.1114215501118992,0.1265747225797785,0.026567171945287855,0.16304739392698714
C1,no,Insulin,26.174496644295303,0.1872697574625871,0.11142155012246203,0.12657472258928654,0.02656717194875484,0.16304739393966916
C1,no,Insulin,26.51006711409396,0.18726975746334945,0.11142155012320114,0.12657472258995137,0.026567171948997693,0.16304739394055814
C1,no,Insulin,26.845637583892618,0.1872697574641118,0.11142155012394024,0.1265747225906162,0.026567171949240548,0.16304739394144713
C1,no,Insulin,27.181208053691275,0.18726975746487418,0.11142155012467934,0.126574722591281,0.026567171949483402,0.1630473939423361
C1,no,Insulin,27.516778523489933,0.18726975746563654,0.11142155012541845,0.12657472259194583,0.026567171949726257,0.1630473939432251
C1,no,Insulin,27.85234899328859,0.1872697574663989,0.11142155012615754,0.12657472259261066,0.02656717194996911,0.16304739394411408
C1,no,Insulin,28.18791946308725,0.18726975746716126,0.11142155012689664,0.12657472259327546,0.026567171950211965,0.16304739394500306
C1,no,Insulin,28.52348993288591,0.18726975746792363,0.11142155012763574,0.1265747225939403,0.026567171950454816,0.16304739394589204
C1,no,Insulin,28.859060402684566,0.187269757468686,0.11142155012837485,0.12657472259460512,0.02656717195069767,0.16304739394678103
C1,no,Insulin,29.194630872483224,0.18726975746944835,0.11142155012911395,0.12657472259526992,0.026567171950940525,0.16304739394767
C1,no,Insulin,29.53020134228188,0.1872697574702107,0.11142155012985305,0.12657472259593475,0.02656717195118338,0.16304739394855902
C1,no,Insulin,29.86577181208054,0.18726975747097308,0.11142155013059216,0.12657472259659958,0.026567171951426233,0.163047393949448
C1,no,Insulin,30.201342281879196,0.18726975747173544,0.11142155013133126,0.12657472259726438,0.026567171951669088,0.163047393950337
C1,no,Insulin,30.536912751677853,0.1872697574724978,0.11142155013207036,0.1265747225979292,0.026567171951911942,0.16304739395122597
C1,no,Insulin,30.87248322147651,0.18726975747326016,0.11142155013280947,0.12657472259859404,0.026567171952154797,0.16304739395211496
C1,no,Insulin,31.20805369127517,0.18726975747402252,0.11142155013354857,0.12657472259925884,0.026567171952397647,0.16304739395300394
C1,no,Insulin,31.543624161073826,0.1872697574747849,0.11142155013428767,0.12657472259992367,0.026567171952640502,0.16304739395389292
C1,no,Insulin,31.879194630872483,0.18726975747554725,0.11142155013502678,0.12657472260058847,0.026567171952883356,0.1630473939547819
C1,no,Insulin,32.214765100671144,0.1872697574763096,0.11142155013576588,0.1265747226012533,0.02656717195312621,0.1630473939556709
C1,no,Insulin,32.5503355704698,0.18726975747707197,0.11142155013650497,0.12657472260191813,0.026567171953369065,0.16304739395655987
C1,no,Insulin,32.88590604026846,0.18726975747783434,0.11142155013724407,0.12657472260258293,0.02656717195361192,0.16304739395744888
C1,no,Insulin,33.22147651006711,0.1872697574785967,0.11142155013798317,0.12657472260324776,0.026567171953854773,0.16304739395833787
C1,no,Insulin,33.557046979865774,0.18726975747935906,0.11142155013872228,0.1265747226039126,0.026567171954097624,0.16304739395922685
C1,no,Insulin,33.89261744966443,0.18726975748012142,0.11142155013946138,0.1265747226045774,0.02656717195434048,0.16304739396011583
C1,no,Insulin,34.22818791946309,0.1872697574808838,0.11142155014020048,0.12657472260524222,0.026567171954583333,0.16304739396100482
C1,no,Insulin,34.56375838926175,0.18726975748164615,0.11142155014093959,0.12657472260590705,0.026567171954826187,0.1630473939618938
C1,no,Insulin,34.899328859060404,0.1872697574824085,0.11142155014167869,0.12657472260657185,0.026567171955069042,0.16304739396278278
C1,no,Insulin,35.234899328859065,0.18726975748317087,0.1114215501424178,0.12657472260723668,0.026567171955311896,0.16304739396367177
C1,no,Insulin,35.57046979865772,0.18726975748393324,0.1114215501431569,0.1265747226079015,0.02656717195555475,0.16304739396456075
C1,no,Insulin,35.90604026845638,0.1872697574846956,0.111421550143896,0.1265747226085663,0.0265671719557976,0.16304739396544973
C1,no,Insulin,36.241610738255034,0.18726975748545796,0.1114215501446351,0.12657472260923114,0.026567171956040456,0.16304739396633872
C1,no,Insulin,36.577181208053695,0.18726975748622032,0.1114215501453742,0.12657472260989597,0.02656717195628331,0.16304739396722773
C1,no,Insulin,36.91275167785235,0.18726975748698269,0.11142155014611331,0.12657472261056077,0.026567171956526164,0.1630473939681167
C1,no,Insulin,37.24832214765101,0.18726975748774505,0.1114215501468524,0.1265747226112256,0.02656717195676902,0.1630473939690057
C1,no,Insulin,37.58389261744966,0.1872697574885074,0.1114215501475915,0.12657472261189043,0.026567171957011873,0.16304739396989468
C1,no,Insulin,37.919463087248324,0.18726975748926977,0.1114215501483306,0.12657472261255523,0.026567171957254727,0.16304739397078366
C1,no,Insulin,38.25503355704698,0.18726975749003213,0.11142155014906971,0.12657472261322006,0.026567171957497582,0.16304739397167264
C1,no,Insulin,38.59060402684564,0.1872697574907945,0.11142155014980881,0.12657472261388486,0.026567171957740433,0.16304739397256163
C1,no,Insulin,38.9261744966443,0.18726975749155686,0.11142155015054792,0.1265747226145497,0.026567171957983287,0.1630473939734506
C1,no,Insulin,39.261744966442954,0.18726975749231922,0.11142155015128702,0.12657472261521452,0.02656717195822614,0.1630473939743396
C1,no,Insulin,39.597315436241615,0.18726975749308158,0.11142155015202612,0.12657472261587932,0.026567171958468996,0.16304739397522858
C1,no,Insulin,39.93288590604027,0.18726975749384395,0.11142155015276523,0.12657472261654415,0.02656717195871185,0.1630473939761176
C1,no,Insulin,40.26845637583893,0.1872697574946063,0.11142155015350433,0.12657472261720898,0.026567171958954704,0.16304739397700657
C1,no,Insulin,40.604026845637584,0.18726975749536867,0.11142155015424343,0.12657472261787378,0.02656717195919756,0.16304739397789555
C1,no,Insulin,40.939597315436245,0.18726975749613103,0.11142155015498253,0.1265747226185386,0.02656717195944041,0.16304739397878454
C1,no,Insulin,41.2751677852349,0.1872697574968934,0.11142155015572164,0.12657472261920344,0.026567171959683264,0.16304739397967352
C1,no,Insulin,41.61073825503356,0.18726975749765576,0.11142155015646074,0.12657472261986824,0.02656717195992612,0.1630473939805625
C1,no,Insulin,41.946308724832214,0.18726975749841812,0.11142155015719983,0.12657472262053307,0.026567171960168973,0.1630473939814515
C1,no,Insulin,42.281879194630875,0.18726975749918048,0.11142155015793893,0.1265747226211979,0.026567171960411827,0.16304739398234047
C1,no,Insulin,42.61744966442953,0.18726975749994285,0.11142155015867804,0.1265747226218627,0.02656717196065468,0.16304739398322945
C1,no,Insulin,42.95302013422819,0.1872697575007052,0.11142155015941714,0.12657472262252753,0.026567171960897536,0.16304739398411844
C1,no,Insulin,43.28859060402685,0.18726975750146757,0.11142155016015624,0.12657472262319236,0.02656717196114039,0.16304739398500745
C1,no,Insulin,43.624161073825505,0.18726975750222993,0.11142155016089535,0.12657472262385716,0.02656717196138324,0.16304739398589643
C1,no,Insulin,43.959731543624166,0.1872697575029923,0.11142155016163445,0.126574722624522,0.026567171961626095,0.16304739398678542
C1,no,Insulin,44.29530201342282,0.18726975750375466,0.11142155016237355,0.12657472262518682,0.02656717196186895,0.1630473939876744
C1,no,Insulin,44.63087248322148,0.18726975750451702,0.11142155016311266,0.12657472262585162,0.026567171962111804,0.16304739398856338
C1,no,Insulin,44.966442953020135,0.18726975750527938,0.11142155016385176,0.12657472262651645,0.02656717196235466,0.16304739398945237
C1,no,Insulin,45.302013422818796,0.18726975750604175,0.11142155016459086,0.12657472262718125,0.026567171962597513,0.16304739399034135
C1,no,Insulin,45.63758389261745,0.1872697575068041,0.11142155016532997,0.12657472262784608,0.026567171962840367,0.16304739399123033
C1,no,Insulin,45.97315436241611,0.18726975750756647,0.11142155016606907,0.1265747226285109,0.026567171963083218,0.16304739399211932
C1,no,Insulin,46.308724832214764,0.18726975750832883,0.11142155016680817,0.1265747226291757,0.026567171963326072,0.1630473939930083
C1,no,Insulin,46.644295302013425,0.1872697575090912,0.11142155016754726,0.12657472262984054,0.026567171963568927,0.1630473939938973
C1,no,Insulin,46.97986577181208,0.18726975750985356,0.11142155016828637,0.12657472263050537,0.02656717196381178,0.1630473939947863
C1,no,Insulin,47.31543624161074,0.18726975751061592,0.11142155016902547,0.12657472263117017,0.026567171964054635,0.16304739399567528
C1,no,Insulin,47.6510067114094,0.1872697575113783,0.11142155016976457,0.126574722631835,0.02656717196429749,0.16304739399656426
C1,no,Insulin,47.986577181208055,0.18726975751214067,0.11142155017050367,0.12657472263249983,0.026567171964540344,0.16304739399745324
C1,no,Insulin,48.322147651006716,0.18726975751290303,0.11142155017124278,0.12657472263316463,0.026567171964783195,0.16304739399834223
C1,no,Insulin,48.65771812080537,0.1872697575136654,0.11142155017198188,0.12657472263382946,0.02656717196502605,0.1630473939992312
C1,no,Insulin,48.99328859060403,0.18726975751442776,0.11142155017272098,0.1265747226344943,0.026567171965268904,0.1630473940001202
C1,no,Insulin,49.328859060402685,0.18726975751519012,0.11142155017346009,0.1265747226351591,0.026567171965511758,0.16304739400100918
C1,no,Insulin,49.664429530201346,0.18726975751595248,0.11142155017419919,0.12657472263582392,0.026567171965754612,0.16304739400189816
C1,no,Insulin,50.0,0.18726975751671485,0.1114215501749383,0.12657472263648875,0.026567171965997467,0.16304739400278717
