,,,Slide ID,a,b,d,f,e,c
,,,Antibody Name,a,b,d,f,e,c
,,,HUGO ID,a,b,d,f,e,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.23829703739715324,0.4043710252794599,0.15445166218259399,0.7858585878578751,0.16121029788152674,0.2469958177541427
C1,no,Insulin,0.33557046979865773,0.18344650437752724,0.323315590669522,0.17040569361043933,0.45783276905764636,0.12624984370854567,0.24363913968147352
C1,no,Insulin,0.6711409395973155,0.14476608090865895,0.2598488542000033,0.16625042438380536,0.3089417212214727,0.09795260938172796,0.23063045303473906
C1,no,Insulin,1.0067114093959733,0.11765310186848366,0.2108084057799041,0.15491983214300786,0.23681266273161072,0.07685662238443916,0.21407962213551474
C1,no,Insulin,1.342281879194631,0.0986804463362499,0.17332421873944723,0.14186617312671593,0.19862680331756635,0.061768980865825114,0.1970403706480045
C1,no,Insulin,1.6778523489932886,0.08527171354474446,0.14483198194770458,0.1293343858341555,0.17630474621503925,0.05111150824401223,0.18100383363615466
C1,no,Insulin,2.0134228187919465,0.0756023440575938,0.12318999698316072,0.1181635949043212,0.16198608401503475,0.04353313180170358,0.16662812105936506
C1,no,Insulin,2.348993288590604,0.0684514920228198,0.10670763155041293,0.1085714589755705,0.15207052998126946,0.03805091029324169,0.1541212845922268
C1,no,Insulin,2.684563758389262,0.06302802574844706,0.094095942581608,0.10050706332029476,0.1447903142056888,0.033999707141817166,0.14345368424905755
C1,no,Insulin,3.0201342281879198,0.058823035807999524,0.08439012657834762,0.09381321274985688,0.13920980903690378,0.03094177536670231,0.1344784907389188
C1,no,Insulin,3.3557046979865772,0.05550511366998567,0.0768738103770689,0.08830148660957533,0.1347979511719287,0.028589634950525026,0.12699998218741324
C1,no,Insulin,3.691275167785235,0.05285271840368606,0.07101608477955344,0.08378628570185637,0.13123421696838444,0.026751927764397082,0.12081147716956699
C1,no,Insulin,4.026845637583893,0.05071260224104751,0.06642275308048792,0.08009923461992419,0.12831408071222716,0.025298352377998788,0.11571546567190269
C1,no,Insulin,4.3624161073825505,0.04897481754018005,0.06279989332709751,0.07709408375716341,0.12589982687399953,0.024137737178592723,0.11153330861433255
C1,no,Insulin,4.697986577181208,0.047557731555321246,0.059927083928553046,0.07464705290010526,0.12389365465860705,0.0232044673627652,0.10810889458529094
C1,no,Insulin,5.033557046979866,0.04639896462971078,0.057637928562075835,0.07265509121629499,0.12222256575006749,0.022450070667125635,0.10530888981996092
C1,no,Insulin,5.369127516778524,0.0454497565915419,0.05580590746468103,0.07103334829152287,0.12082967601746863,0.021837904141437475,0.10302123268529359
C1,no,Insulin,5.704697986577181,0.04467135480141488,0.05433410683287103,0.06971245458323233,0.11966916623493043,0.02133973645936195,0.10115278491813418
C1,no,Insulin,6.0402684563758395,0.04403259904754097,0.05314774279907979,0.06863595256118826,0.11870327547306457,0.020933485577434754,0.09962673851432131
C1,no,Insulin,6.375838926174497,0.043508234687964914,0.05218869518015509,0.0677580188732698,0.1179004493170343,0.02060167515576741,0.0983800916264042
C1,no,Insulin,6.7114093959731544,0.04307768628017384,0.05141148840035815,0.06704151121760354,0.11723412812526769,0.020330349755620074,0.097361347872889
C1,no,Insulin,7.046979865771813,0.04272413458160531,0.050780317189905486,0.06645633537507631,0.1166818944968524,0.020108290454872918,0.09652850590976379
C1,no,Insulin,7.38255033557047,0.04243380048828324,0.05026682622065509,0.0659780990921801,0.11622483063044074,0.019926431810486023,0.09584734524304919
C1,no,Insulin,7.718120805369128,0.04219538229849361,0.0498484469156731,0.06558701985893002,0.11584699669795914,0.019777421790465665,0.09528999941474446
C1,no,Insulin,8.053691275167786,0.04199960246183836,0.049507132598139734,0.06526703780225328,0.1155349978431598,0.019655280377649437,0.09483377462835338
C1,no,Insulin,8.389261744966444,0.04183884231947094,0.049228394514742896,0.06500510096060891,0.11527760575089384,0.01955513348374751,0.09446018249343414
C1,no,Insulin,8.724832214765101,0.04170684300366719,0.049000559631707026,0.06479058844689631,0.11506543809671414,0.01947300148496887,0.09415415032109652
C1,no,Insulin,9.060402684563758,0.04159846420800433,0.04881419649782678,0.06461484902978655,0.11489066792914773,0.019405632230518347,0.09390338393243239
C1,no,Insulin,9.395973154362416,0.041509482440764654,0.04866166353244939,0.06447083094060903,0.1147467913027979,0.01935036426023399,0.0936978489832554
C1,no,Insulin,9.731543624161075,0.04143642890522489,0.04853675682112814,0.06435277529615178,0.11462840413085162,0.01930501905008602,0.09352934695802485
C1,no,Insulin,10.067114093959733,0.041376454451308074,0.0484344305712256,0.0642559812237276,0.11453103231585286,0.01926781191867304,0.09339117894581901
C1,no,Insulin,10.40268456375839,0.041327219613482284,0.04835057523225747,0.06417660571350527,0.1144509744791617,0.019237280706004046,0.09327786677324375
C1,no,Insulin,10.738255033557047,0.04128680137157417,0.04828183552948948,0.0641115023945543,0.1143851698216524,0.01921222566676521,0.09318492360325345
C1,no,Insulin,11.073825503355705,0.04125361960965607,0.048225469980980824,0.06405809469581146,0.11433109077725584,0.01919166242174948,0.09310867403721404
C1,no,Insulin,11.409395973154362,0.04122638191518731,0.048179247531426446,0.06401428098470695,0.11428666060066492,0.019174786915618598,0.09304611968748729
C1,no,Insulin,11.74496644295302,0.04120402381828949,0.04814133640017484,0.06397833470156615,0.11425016418815492,0.019160937317644868,0.09299479655514105
C1,no,Insulin,12.080536912751679,0.0411856708629106,0.04811023691486745,0.06394884067736928,0.1142201886598783,0.019149570405575335,0.09295268443596592
C1,no,Insulin,12.416107382550337,0.04117060511521645,0.04808472182018913,0.063924637191854,0.11419557004389733,0.01914024070928766,0.09291812597407194
C1,no,Insulin,12.751677852348994,0.04115823942077637,0.048063789421534206,0.06390477465741073,0.11417535387805447,0.01913258409037597,0.09288976710801464
C1,no,Insulin,13.087248322147651,0.041148094721239405,0.048046623332110745,0.06388848092515399,0.11415876067165846,0.019126303370938007,0.0928665056037993
C1,no,Insulin,13.422818791946309,0.0411397639443345,0.048032528497058205,0.06387510295642364,0.11414513003412319,0.0191211456534795,0.092847406870605
C1,no,Insulin,13.758389261744966,0.04113292433628907,0.04802095779936589,0.0638641277126441,0.11413394003699125,0.01911691082794012,0.09283173299233116
C1,no,Insulin,14.093959731543626,0.04112730854778823,0.04801146027532857,0.06385512875721298,0.11412475960845586,0.01911343357968468,0.09281887161277418
C1,no,Insulin,14.429530201342283,0.04112269756419238,0.048003668360766576,0.0638477427973285,0.11411723138395219,0.01911057936150918,0.09280831295808852
C1,no,Insulin,14.76510067114094,0.04111891425555498,0.0479972772184911,0.06384167555072745,0.11411104479996534,0.019108238242594854,0.09279964463275983
C1,no,Insulin,15.100671140939598,0.04111581178900326,0.047992030679479755,0.06383668668904689,0.1141059473170667,0.019106317970425276,0.09279253067440801
C1,no,Insulin,15.436241610738255,0.041113263738103416,0.047987723896063414,0.06383259152541651,0.11410177107191898,0.019104740952150253,0.09278669023930156
C1,no,Insulin,15.771812080536913,0.041111171785133654,0.047984188873530044,0.06382923269125136,0.11409834631649572,0.019103446202524913,0.0927818971137683
C1,no,Insulin,16.107382550335572,0.04110945458756814,0.047981287394206464,0.06382647684947851,0.114095535883055,0.019102383384228115,0.09277796339471439
C1,no,Insulin,16.44295302013423,0.04110804524750581,0.047978905999347427,0.06382421546934941,0.1140932280590678,0.019101511116127994,0.09277473478105158
C1,no,Insulin,16.778523489932887,0.04110688849188896,0.04797695145929956,0.0638223596115505,0.11409133369342522,0.01910079518040948,0.09277208491469169
C1,no,Insulin,17.114093959731544,0.04110593886153502,0.0479753469972608,0.06382083625656425,0.1140897788236374,0.01910020743690789,0.09276990973241774
C1,no,Insulin,17.449664429530202,0.041105159275594716,0.04797402985543105,0.06381958570682474,0.11408850224034812,0.019099724939972418,0.09276812405645389
C1,no,Insulin,17.78523489932886,0.041104519631281984,0.04797294917819416,0.06381855967642175,0.11408745481219824,0.019099329056227597,0.09276665896049745
C1,no,Insulin,18.120805369127517,0.04110399687783807,0.047972066003527894,0.06381772115978968,0.1140865987667535,0.019099005518967874,0.09276546161663604
C1,no,Insulin,18.456375838926174,0.04110356597295829,0.04797133800160144,0.06381702995193664,0.1140858930519977,0.019098738829001496,0.09276447462902196
C1,no,Insulin,18.79194630872483,0.04110321185688888,0.047970739723324836,0.06381646188982676,0.11408531300220721,0.01909851966527926,0.09276366349746408
C1,no,Insulin,19.12751677852349,0.04110292103452143,0.04797024837572281,0.0638159953461192,0.11408483657074976,0.0190983396750395,0.09276299733026844
C1,no,Insulin,19.46308724832215,0.041102682340487785,0.047969845109798945,0.06381561244635622,0.1140844455607149,0.019098191947306022,0.0927624505877097
C1,no,Insulin,19.798657718120808,0.04110248668618698,0.047969514585709944,0.06381529864778676,0.11408412520006245,0.019098070856064114,0.09276200248908366
C1,no,Insulin,20.134228187919465,0.04110232615147643,0.0479692434441069,0.06381504129610281,0.11408386267389868,0.0190979714978667,0.09276163494689572
C1,no,Insulin,20.469798657718123,0.04110219489886175,0.047969021855075324,0.06381483110159271,0.11408364865221379,0.01909789025721883,0.09276133467239928
C1,no,Insulin,20.80536912751678,0.04110208596426156,0.04796883808278365,0.06381465696164551,0.11408347194040674,0.019097822821697176,0.09276108578917948
C1,no,Insulin,21.140939597315437,0.04110199604807,0.04796868666325679,0.06381451382593048,0.11408332786182222,0.01909776714115891,0.09276088101422275
