,,,Slide ID,c,i,f,b,a,h,d,g,e
,,,Antibody Name,c,i,f,b,a,h,d,g,e
,,,HUGO ID,c,i,f,b,a,h,d,g,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7698705898140098,0.6839031074152191,0.2566472369564352,0.44439652135256236,0.9670383555819877,0.2762542916833557,0.4544344081799464,0.5783339615883036,0.852512933769624
C1,no,Insulin,0.33557046979865773,0.4289227325622946,0.472449764105841,0.19299739749833325,0.38636891410746077,0.7004183633436628,0.24838067491536153,0.3706774226537873,0.45569206361326847,0.521138237070166
C1,no,Insulin,0.6711409395973155,0.26778022666674106,0.344010321817734,0.16628655303289228,0.3403139497915222,0.5161449273983686,0.22554116053822712,0.3146757658408033,0.3641096861916008,0.37072991977352804
C1,no,Insulin,1.0067114093959733,0.19142373795707562,0.2669429389797448,0.15493767147099968,0.30551838603726855,0.38826993660408987,0.21074340753677348,0.2764583767348653,0.29687898420512204,0.2974311253528021
C1,no,Insulin,1.342281879194631,0.1551436935534368,0.22118229877986334,0.15003524908677215,0.28002813198813753,0.2994549856479429,0.20219684275958802,0.25016193874699244,0.24807233016259658,0.25884648744810834
C1,no,Insulin,1.6778523489932886,0.1378552256883846,0.19422419549435324,0.14786879513806436,0.26169660540666534,0.23790133378882683,0.19757182312085725,0.23217865804515345,0.21288181497673495,0.23729288528439052
C1,no,Insulin,2.0134228187919465,0.12959161123613025,0.17843128931818658,0.14688308615152393,0.2486566584009838,0.19542578877219585,0.19516289852472285,0.22010255816238866,0.1876119201724691,0.2249073043136808
C1,no,Insulin,2.348993288590604,0.12562992410161117,0.1692149709584359,0.1464200667676031,0.23944115101999008,0.1662765625188448,0.19393537039877637,0.2122063617481439,0.16950998742101653,0.21779784268697489
C1,no,Insulin,2.684563758389262,0.12372530346167117,0.1638509644215069,0.1461958546907695,0.23295438734803342,0.14639031016188353,0.19331687683765944,0.2072088078837919,0.15656197968767094,0.21381151594099576
C1,no,Insulin,3.0201342281879198,0.12280718472798165,0.1607349531591743,0.14608433743161706,0.22839990706005042,0.13290171505556228,0.1930065588565937,0.20416510079956987,0.14730909958850097,0.2116688031712404
C1,no,Insulin,3.3557046979865772,0.12236341320013067,0.15892730220742354,0.1460275856616782,0.2252074128284283,0.123802130400293,0.19285075689248837,0.2023968008456211,0.14070080997965506,0.21059052762217567
C1,no,Insulin,3.691275167785235,0.12214829962391391,0.15787971761900052,0.1459981255053806,0.22297211745741805,0.11769409214341284,0.1927722054217862,0.20143284328330818,0.13598315428962446,0.21010558967484938
C1,no,Insulin,4.026845637583893,0.12204368499178493,0.15727307055005577,0.14598256020176686,0.22140824038265883,0.1136129179360786,0.19273232916227742,0.20095725395129752,0.13261614748344114,0.20993573328401666
C1,no,Insulin,4.3624161073825505,0.12199261691149638,0.15692197072538663,0.14597420267256123,0.22031471064068842,0.11089758986289916,0.19271190551125428,0.2007651593002033,0.13021356807801393,0.20992179891781285
C1,no,Insulin,4.697986577181208,0.12196757431229388,0.15671885353363582,0.1459696475920489,0.21955037055935275,0.10909816204637611,0.19270133345175752,0.20072815642560862,0.12849940306175922,0.20997625042242218
C1,no,Insulin,5.033557046979866,0.12195522947009828,0.15660138513692692,0.14596713032055367,0.21901627922442304,0.10791019417729436,0.1926957963582989,0.20076864310443973,0.12727652185779895,0.21005333695676578
C1,no,Insulin,5.369127516778524,0.12194910530767424,0.15653346499782056,0.14596572129284927,0.21864315848385968,0.10712877636434255,0.19269285914299247,0.20084166255257815,0.12640418546663834,0.21013084659024017
C1,no,Insulin,5.704697986577181,0.12194604505913874,0.15649419894281041,0.1459649234965588,0.2183825355095395,0.1066166345677757,0.19269128033564137,0.20092256959969354,0.1257819411475737,0.2101993120161918
C1,no,Insulin,6.0402684563758395,0.12194450250189157,0.15647150044149327,0.14596446687350131,0.21820051483896707,0.10628220316840732,0.1926904205105043,0.20099893817212913,0.12533810777825502,0.21025582204564305
C1,no,Insulin,6.375838926174497,0.12194371713229295,0.1564583779181147,0.14596420331229867,0.21807340185963242,0.10606463664401071,0.19268994565931277,0.2010654002435489,0.1250215389897751,0.21030058109222569
C1,no,Insulin,6.7114093959731544,0.12194331381484684,0.15645079433706835,0.14596404966484164,0.21798464157830655,0.10592366362707867,0.19268968111382756,0.2011204675514751,0.1247957506711543,0.21033508645369933
C1,no,Insulin,7.046979865771813,0.12194310366547256,0.15644640997047266,0.14596396011107207,0.21792266601929133,0.10583270963458201,0.19268953070948922,0.20116461444540645,0.12463471364198257,0.2103611871457497
C1,no,Insulin,7.38255033557047,0.12194299289986452,0.15644387584778957,0.1459639066535263,0.21787939474855025,0.10577430020507503,0.1926894459305855,0.20119918293527364,0.12451986018826018,0.2103806625029018
C1,no,Insulin,7.718120805369128,0.12194293378150522,0.1564424096784129,0.1459638758241446,0.217849183572579,0.10573698491604215,0.1926893957184665,0.20122578055804272,0.12443794592370805,0.2103950486143456
C1,no,Insulin,8.053691275167786,0.12194290147165063,0.15644156204203769,0.14596385696669678,0.21782809179601872,0.10571328642394325,0.19268936725912772,0.20124597097819627,0.12437952505244838,0.21040559472552264
C1,no,Insulin,8.389261744966444,0.12194288376248165,0.15644107176385366,0.14596384574182514,0.2178133669265778,0.10569833796982196,0.19268935058131234,0.20126113569121074,0.124337859676255,0.21041328110088137
