,,,Slide ID,c,i,f,b,a,h,d,g,e
C1,no,Insulin,8.724832214765101,0.12194287396293524,0.15644078811007675,0.14596383909135413,0.21780308724718395,0.10568898422057003,0.19268934068183724,0.2012724291249177,0.12430814441024231,0.21041885804256139
C1,no,Insulin,9.060402684563758,0.12194286845918455,0.1564406240368624,0.14596383511448793,0.21779591184377337,0.10568318878747804,0.19268933481709635,0.2012807810482853,0.12428695408382379,0.21042288990054245
C1,no,Insulin,9.395973154362416,0.1219428653199945,0.15644052904133618,0.14596383271388075,0.21779090245910332,0.10567963873217166,0.19268933134867308,0.20128692304032852,0.12427184083557315,0.2104257970132421
C1,no,Insulin,9.731543624161075,0.12194286352149064,0.1564404738736486,0.14596383128394513,0.21778740339473618,0.10567749297602799,0.1926893292535259,0.20129141977722695,0.12426105722167081,0.21042788933528161
C1,no,Insulin,10.067114093959733,0.1219428624887838,0.15644044215708552,0.1459638304222393,0.21778496210876955,0.10567622604518977,0.19268932801632482,0.20129469834858996,0.12425336946280173,0.21042939183446333
C1,no,Insulin,10.40268456375839,0.12194286186875203,0.15644042382341386,0.14596382987699974,0.21778325854456504,0.10567549669438056,0.19268932731210633,0.20129708030718005,0.1242478882843172,0.21043046913591584
C1,no,Insulin,10.738255033557047,0.12194286151413587,0.15644041306974205,0.14596382957416854,0.21778206894220464,0.1056750907289988,0.19268932684697415,0.20129880615821985,0.12424397843038945,0.2104312409080001
C1,no,Insulin,11.073825503355705,0.12194286132076808,0.15644040686047547,0.14596382940872965,0.21778123782563516,0.1056748774813792,0.19268932654640508,0.2013000547702975,0.12424118806907376,0.210431793810361
C1,no,Insulin,11.409395973154362,0.12194286117672037,0.156440403452684,0.1459638292485676,0.21778065898828433,0.1056747792407935,0.19268932645855985,0.20130095524337885,0.12423920115498409,0.2104321889206333
C1,no,Insulin,11.74496644295302,0.12194286102878377,0.15644040150007935,0.14596382906459887,0.2177802554431921,0.10567474391257593,0.192689326522415,0.20130160339012185,0.12423778536995067,0.21043247103038304
C1,no,Insulin,12.080536912751679,0.12194286095315116,0.1564404002280952,0.14596382899209284,0.2177799734061476,0.10567474024946859,0.19268932649925052,0.20130206930962707,0.12423677500518318,0.21043267251332531
C1,no,Insulin,12.416107382550337,0.12194286104368862,0.15644039934012482,0.14596382916018336,0.21777977601928553,0.10567475154256852,0.19268932619400495,0.2013024040413794,0.12423605341208044,0.21043281662284552
C1,no,Insulin,12.751677852348994,0.12194286123264354,0.15644039882488991,0.14596382944759387,0.21777963833952999,0.10567476996408642,0.1926893257653202,0.20130264433013897,0.12423553911438624,0.21043291973353323
C1,no,Insulin,13.087248322147651,0.12194286118046571,0.15644039863928538,0.14596382936094596,0.21777954246886733,0.10567478990188071,0.19268932586137014,0.20130281643183237,0.12423517290841592,0.2104329931934974
C1,no,Insulin,13.422818791946309,0.1219428605871825,0.15644039880020932,0.14596382846479883,0.21777947579101067,0.10567480834994813,0.19268932705712602,0.20130293944273503,0.12423491213755745,0.21043304508530652
C1,no,Insulin,13.758389261744966,0.12194285953656955,0.15644039923780564,0.14596382688198042,0.21777942939173403,0.10567482406755342,0.19268932918418188,0.20130302731770272,0.12423472624945513,0.21043308154374699
C1,no,Insulin,14.093959731543626,0.12194285846820876,0.1564403997520187,0.14596382526217666,0.2177793964681215,0.10567483666603464,0.19268933136783503,0.20130309092543888,0.12423459186540495,0.21043310764977063
C1,no,Insulin,14.429530201342283,0.1219428584167347,0.15644039974393556,0.14596382518017167,0.21777937226004043,0.10567484712150402,0.1926893314755863,0.20130313821281906,0.12423449225798885,0.21043312756195323
C1,no,Insulin,14.76510067114094,0.12194285942940025,0.15644039920556838,0.14596382669987903,0.21777935663748763,0.10567485547159595,0.19268932942359351,0.2013031694038696,0.12423442699624364,0.2104331414370902
C1,no,Insulin,15.100671140939598,0.12194286190902563,0.1564403977808853,0.1459638304836999,0.21777934450486816,0.10567486255112155,0.19268932429764996,0.20130319317575926,0.1242343774788035,0.2104331531235729
C1,no,Insulin,15.436241610738255,0.12194286402299326,0.15644039654072459,0.14596383373000069,0.21777933605907643,0.10567486811744074,0.19268931989394497,0.2013032099961712,0.12423434256247473,0.210433161531539
C1,no,Insulin,15.771812080536913,0.12194286425831695,0.15644039639063254,0.14596383410214972,0.21777933067249514,0.10567487222360243,0.19268931938563835,0.20130322171396595,0.12423431825084476,0.21043316651552396
C1,no,Insulin,16.107382550335572,0.12194286249901358,0.1564403974070743,0.14596383141022284,0.2177793275792979,0.10567487511457248,0.19268932303371605,0.20130322981761423,0.12423430140271766,0.2104331687278712
C1,no,Insulin,16.44295302013423,0.12194286091165557,0.15644039832868115,0.14596382897517715,0.21777932539994727,0.10567487730685612,0.19268932633554292,0.2013032358378545,0.12423428887905974,0.2104331702504453
C1,no,Insulin,16.778523489932887,0.12194285960878261,0.15644039908518687,0.1459638269765474,0.21777932363283364,0.10567487912426783,0.19268932904560984,0.2013032407634154,0.1242342786349371,0.21043317149203672
C1,no,Insulin,17.114093959731544,0.1219428593488865,0.15644039923597194,0.1459638265774992,0.21777932221906587,0.10567488051401037,0.19268932958676274,0.20130324427159535,0.12423427136029454,0.21043317279312648
C1,no,Insulin,17.449664429530202,0.12194286001124967,0.15644039885114824,0.14596382759290644,0.21777932114912918,0.10567488149804556,0.19268932821001636,0.20130324645443917,0.12423426686074897,0.21043317411676501
C1,no,Insulin,17.78523489932886,0.12194285997748429,0.15644039887066358,0.14596382754089454,0.2177793202954644,0.10567488237080241,0.19268932828057345,0.20130324854593665,0.12423426253032392,0.21043317496759154
C1,no,Insulin,18.120805369127517,0.12194286014477336,0.15644039877344063,0.1459638277973362,0.21777931972878634,0.10567488296905882,0.19268932793287213,0.20130324986200288,0.12423425981369027,0.2104331756202184
C1,no,Insulin,18.456375838926174,0.12194286051311687,0.1564403985594794,0.14596382836223143,0.21777931944909493,0.10567488329281474,0.19268932716691237,0.20130325040263788,0.124234258710848,0.21043317607464557
C1,no,Insulin,18.79194630872483,0.12194286076258151,0.1564403984145184,0.14596382874467823,0.2177793187978337,0.10567488396972664,0.1926893266483603,0.2013032518773906,0.1242342556685235,0.21043317684463816
C1,no,Insulin,19.12751677852349,0.12194286083319904,0.1564403983735269,0.14596382885308523,0.2177793189280299,0.10567488391072312,0.19268932650134904,0.2013032515993998,0.1242342562505096,0.2104331767722017
C1,no,Insulin,19.46308724832215,0.12194286090381658,0.15644039833253545,0.14596382896149224,0.21777931905822615,0.10567488385171958,0.19268932635433778,0.20130325132140897,0.12423425683249568,0.21043317669976522
C1,no,Insulin,19.798657718120808,0.12194286093779698,0.15644039831281423,0.145963829013663,0.21777931914020313,0.10567488381169626,0.19268932628358804,0.20130325114921424,0.12423425719239486,0.2104331766488591
C1,no,Insulin,20.134228187919465,0.12194286094676153,0.15644039830761633,0.14596382902743563,0.217779319189256,0.10567488378463265,0.19268932626490973,0.2013032510492571,0.124234257400653,0.2104331766126539
C1,no,Insulin,20.469798657718123,0.12194286095572608,0.15644039830241843,0.14596382904120825,0.21777931923830887,0.10567488375756902,0.1926893262462314,0.20130325094929993,0.12423425760891112,0.2104331765764487
C1,no,Insulin,20.80536912751678,0.12194286096469063,0.15644039829722053,0.14596382905498087,0.21777931928736174,0.1056748837305054,0.19268932622755308,0.20130325084934278,0.12423425781716924,0.21043317654024346
C1,no,Insulin,21.140939597315437,0.1219428609736552,0.15644039829202264,0.1459638290687535,0.21777931933641462,0.10567488370344177,0.19268932620887477,0.20130325074938563,0.12423425802542735,0.21043317650403826
C1,no,Insulin,21.476510067114095,0.12194286098156107,0.15644039828743883,0.14596382908089992,0.21777931938115994,0.1056748836785233,0.1926893261924019,0.20130325065815227,0.12423425821548034,0.21043317647082382
C1,no,Insulin,21.812080536912752,0.12194286098269862,0.15644039828678094,0.1459638290826497,0.21777931939836612,0.10567488366731913,0.1926893261900287,0.2013032506226919,0.12423425828914457,0.21043317645672982
C1,no,Insulin,22.14765100671141,0.12194286098383617,0.15644039828612305,0.14596382908439953,0.2177793194155723,0.10567488365611497,0.19268932618765555,0.20130325058723153,0.12423425836280878,0.21043317644263582
C1,no,Insulin,22.483221476510067,0.12194286098497371,0.15644039828546516,0.14596382908614933,0.21777931943277848,0.1056748836449108,0.19268932618528237,0.20130325055177115,0.124234258436473,0.2104331764285418
C1,no,Insulin,22.818791946308725,0.12194286098611126,0.15644039828480724,0.14596382908789915,0.2177793194499847,0.10567488363370664,0.19268932618290918,0.2013032505163108,0.12423425851013721,0.21043317641444784
C1,no,Insulin,23.154362416107382,0.12194286098724881,0.15644039828414935,0.14596382908964894,0.21777931946719087,0.10567488362250246,0.19268932618053602,0.2013032504808504,0.12423425858380142,0.21043317640035383
C1,no,Insulin,23.48993288590604,0.12194286098763643,0.15644039828392528,0.14596382909024527,0.21777931947374243,0.10567488361809962,0.19268932617972725,0.20130325046725364,0.12423425861203577,0.21043317639492096
C1,no,Insulin,23.8255033557047,0.12194286098766505,0.15644039828390885,0.14596382909028938,0.21777931947519366,0.10567488361695256,0.19268932617966744,0.2013032504641229,0.12423425861852305,0.2104331763936341
C1,no,Insulin,24.161073825503358,0.12194286098769366,0.15644039828389242,0.1459638290903335,0.21777931947664492,0.1056748836158055,0.1926893261796076,0.20130325046099215,0.12423425862501034,0.21043317639234727
C1,no,Insulin,24.496644295302016,0.12194286098772229,0.156440398283876,0.1459638290903776,0.21777931947809614,0.10567488361465843,0.19268932617954776,0.20130325045786138,0.12423425863149763,0.2104331763910604
C1,no,Insulin,24.832214765100673,0.12194286098775091,0.15644039828385958,0.14596382909042174,0.2177793194795474,0.10567488361351136,0.19268932617948795,0.20130325045473063,0.12423425863798492,0.21043317638977355
C1,no,Insulin,25.16778523489933,0.12194286098777952,0.15644039828384315,0.14596382909046587,0.21777931948099866,0.1056748836123643,0.1926893261794281,0.20130325045159989,0.1242342586444722,0.21043317638848671
C1,no,Insulin,25.503355704697988,0.12194286098780814,0.15644039828382672,0.14596382909050998,0.21777931948244988,0.10567488361121723,0.19268932617936826,0.20130325044846914,0.12423425865095948,0.21043317638719986
C1,no,Insulin,25.838926174496645,0.12194286098783676,0.1564403982838103,0.1459638290905541,0.21777931948390114,0.10567488361007016,0.19268932617930845,0.20130325044533837,0.12423425865744676,0.21043317638591302
C1,no,Insulin,26.174496644295303,0.12194286098786539,0.15644039828379386,0.1459638290905982,0.2177793194853524,0.1056748836089231,0.1926893261792486,0.20130325044220762,0.12423425866393405,0.21043317638462616
C1,no,Insulin,26.51006711409396,0.121942860987894,0.15644039828377743,0.14596382909064234,0.21777931948680362,0.10567488360777604,0.1926893261791888,0.20130325043907688,0.12423425867042133,0.21043317638333933
C1,no,Insulin,26.845637583892618,0.12194286098792262,0.156440398283761,0.14596382909068648,0.21777931948825488,0.10567488360662897,0.19268932617912896,0.20130325043594613,0.12423425867690863,0.21043317638205247
C1,no,Insulin,27.181208053691275,0.12194286098795123,0.15644039828374456,0.14596382909073058,0.2177793194897061,0.1056748836054819,0.19268932617906911,0.20130325043281536,0.12423425868339591,0.2104331763807656
C1,no,Insulin,27.516778523489933,0.12194286098797985,0.15644039828372813,0.1459638290907747,0.21777931949115736,0.10567488360433483,0.1926893261790093,0.2013032504296846,0.12423425868988319,0.21043317637947878
C1,no,Insulin,27.85234899328859,0.12194286098800848,0.15644039828371173,0.14596382909081881,0.21777931949260862,0.10567488360318777,0.19268932617894946,0.20130325042655386,0.12423425869637048,0.21043317637819192
C1,no,Insulin,28.18791946308725,0.1219428609880371,0.1564403982836953,0.14596382909086295,0.21777931949405985,0.1056748836020407,0.19268932617888962,0.20130325042342312,0.12423425870285776,0.2104331763769051
C1,no,Insulin,28.52348993288591,0.12194286098806571,0.15644039828367887,0.14596382909090705,0.2177793194955111,0.10567488360089364,0.1926893261788298,0.20130325042029235,0.12423425870934504,0.21043317637561823
C1,no,Insulin,28.859060402684566,0.12194286098809433,0.15644039828366244,0.14596382909095118,0.21777931949696236,0.10567488359974657,0.19268932617876997,0.2013032504171616,0.12423425871583232,0.21043317637433137
C1,no,Insulin,29.194630872483224,0.12194286098812294,0.156440398283646,0.1459638290909953,0.2177793194984136,0.1056748835985995,0.19268932617871012,0.20130325041403085,0.12423425872231962,0.21043317637304454
C1,no,Insulin,29.53020134228188,0.12194286098815157,0.15644039828362957,0.14596382909103942,0.21777931949986484,0.10567488359745243,0.1926893261786503,0.2013032504109001,0.1242342587288069,0.21043317637175768
C1,no,Insulin,29.86577181208054,0.12194286098818019,0.15644039828361314,0.14596382909108355,0.21777931950131607,0.10567488359630538,0.19268932617859047,0.20130325040776934,0.12423425873529419,0.21043317637047085
C1,no,Insulin,30.201342281879196,0.1219428609882088,0.1564403982835967,0.14596382909112765,0.21777931950276733,0.10567488359515831,0.19268932617853063,0.2013032504046386,0.12423425874178147,0.210433176369184
C1,no,Insulin,30.536912751677853,0.12194286098823742,0.1564403982835803,0.14596382909117178,0.21777931950421858,0.10567488359401124,0.19268932617847082,0.20130325040150784,0.12423425874826875,0.21043317636789713
C1,no,Insulin,30.87248322147651,0.12194286098826604,0.15644039828356388,0.1459638290912159,0.2177793195056698,0.10567488359286417,0.19268932617841097,0.2013032503983771,0.12423425875475604,0.2104331763666103
C1,no,Insulin,31.20805369127517,0.12194286098829467,0.15644039828354744,0.14596382909126002,0.21777931950712107,0.1056748835917171,0.19268932617835116,0.20130325039524632,0.12423425876124332,0.21043317636532344
C1,no,Insulin,31.543624161073826,0.12194286098832328,0.156440398283531,0.14596382909130415,0.2177793195085723,0.10567488359057005,0.19268932617829132,0.20130325039211558,0.12423425876773062,0.2104331763640366
C1,no,Insulin,31.879194630872483,0.1219428609883519,0.15644039828351458,0.14596382909134825,0.21777931951002355,0.10567488358942298,0.19268932617823148,0.20130325038898483,0.1242342587742179,0.21043317636274975
C1,no,Insulin,32.214765100671144,0.12194286098838052,0.15644039828349815,0.14596382909139238,0.2177793195114748,0.10567488358827591,0.19268932617817167,0.2013032503858541,0.12423425878070518,0.21043317636146291
C1,no,Insulin,32.5503355704698,0.12194286098840913,0.15644039828348172,0.14596382909143651,0.21777931951292603,0.10567488358712884,0.19268932617811182,0.20130325038272331,0.12423425878719246,0.21043317636017606
C1,no,Insulin,32.88590604026846,0.12194286098843776,0.1564403982834653,0.14596382909148062,0.2177793195143773,0.10567488358598177,0.19268932617805198,0.20130325037959257,0.12423425879367975,0.2104331763588892
C1,no,Insulin,33.22147651006711,0.12194286098846638,0.15644039828344886,0.14596382909152475,0.21777931951582855,0.1056748835848347,0.19268932617799217,0.20130325037646182,0.12423425880016703,0.21043317635760236
C1,no,Insulin,33.557046979865774,0.121942860988495,0.15644039828343245,0.14596382909156885,0.21777931951727977,0.10567488358368765,0.19268932617793233,0.20130325037333108,0.12423425880665431,0.2104331763563155
C1,no,Insulin,33.89261744966443,0.12194286098849692,0.15644039828343134,0.14596382909157182,0.21777931951745824,0.10567488358353055,0.1926893261779283,0.20130325037293215,0.12423425880747997,0.21043317635615064
C1,no,Insulin,34.22818791946309,0.12194286098849764,0.15644039828343095,0.14596382909157293,0.2177793195175793,0.1056748835834181,0.1926893261779268,0.20130325037265648,0.12423425880805022,0.21043317635603634
C1,no,Insulin,34.56375838926175,0.12194286098849837,0.15644039828343054,0.14596382909157407,0.21777931951770038,0.10567488358330566,0.19268932617792528,0.2013032503723808,0.12423425880862048,0.21043317635592207
C1,no,Insulin,34.899328859060404,0.12194286098849909,0.15644039828343012,0.14596382909157518,0.21777931951782145,0.10567488358319321,0.19268932617792378,0.20130325037210514,0.12423425880919073,0.2104331763558078
C1,no,Insulin,35.234899328859065,0.1219428609884998,0.15644039828342973,0.1459638290915763,0.21777931951794252,0.10567488358308076,0.19268932617792228,0.20130325037182947,0.12423425880976098,0.2104331763556935
C1,no,Insulin,35.57046979865772,0.12194286098850052,0.15644039828342932,0.1459638290915774,0.2177793195180636,0.10567488358296832,0.19268932617792076,0.2013032503715538,0.12423425881033123,0.21043317635557923
C1,no,Insulin,35.90604026845638,0.12194286098850124,0.1564403982834289,0.1459638290915785,0.21777931951818466,0.10567488358285587,0.19268932617791926,0.20130325037127814,0.12423425881090149,0.21043317635546496
C1,no,Insulin,36.241610738255034,0.12194286098850196,0.1564403982834285,0.14596382909157962,0.2177793195183057,0.10567488358274343,0.19268932617791776,0.20130325037100247,0.12423425881147174,0.2104331763553507
C1,no,Insulin,36.577181208053695,0.12194286098850268,0.1564403982834281,0.14596382909158073,0.21777931951842677,0.10567488358263098,0.19268932617791626,0.2013032503707268,0.12423425881204199,0.2104331763552364
C1,no,Insulin,36.91275167785235,0.12194286098850339,0.1564403982834277,0.14596382909158184,0.21777931951854784,0.10567488358251853,0.19268932617791473,0.20130325037045113,0.12423425881261224,0.21043317635512213
C1,no,Insulin,37.24832214765101,0.12194286098850411,0.1564403982834273,0.14596382909158295,0.2177793195186689,0.10567488358240609,0.19268932617791323,0.20130325037017546,0.1242342588131825,0.21043317635500786
C1,no,Insulin,37.58389261744966,0.12194286098850483,0.15644039828342687,0.1459638290915841,0.21777931951878998,0.10567488358229364,0.19268932617791174,0.2013032503698998,0.12423425881375276,0.21043317635489356
C1,no,Insulin,37.919463087248324,0.12194286098850556,0.15644039828342649,0.1459638290915852,0.21777931951891105,0.1056748835821812,0.1926893261779102,0.20130325036962413,0.12423425881432301,0.2104331763547793
C1,no,Insulin,38.25503355704698,0.12194286098850628,0.15644039828342607,0.1459638290915863,0.21777931951903212,0.10567488358206875,0.1926893261779087,0.20130325036934849,0.12423425881489326,0.21043317635466502
C1,no,Insulin,38.59060402684564,0.12194286098850698,0.15644039828342565,0.14596382909158742,0.2177793195191532,0.10567488358195631,0.1926893261779072,0.20130325036907282,0.12423425881546352,0.21043317635455072
C1,no,Insulin,38.9261744966443,0.1219428609885077,0.15644039828342526,0.14596382909158853,0.21777931951927423,0.10567488358184386,0.19268932617790568,0.20130325036879715,0.12423425881603377,0.21043317635443645
C1,no,Insulin,39.261744966442954,0.12194286098850843,0.15644039828342485,0.14596382909158964,0.2177793195193953,0.10567488358173141,0.19268932617790419,0.20130325036852148,0.12423425881660402,0.21043317635432218
C1,no,Insulin,39.597315436241615,0.12194286098850915,0.15644039828342446,0.14596382909159075,0.21777931951951637,0.10567488358161897,0.1926893261779027,0.2013032503682458,0.12423425881717427,0.21043317635420788
C1,no,Insulin,39.93288590604027,0.12194286098850987,0.15644039828342404,0.14596382909159186,0.21777931951963744,0.10567488358150652,0.1926893261779012,0.20130325036797014,0.12423425881774453,0.21043317635409362
C1,no,Insulin,40.26845637583893,0.12194286098851058,0.15644039828342363,0.14596382909159297,0.2177793195197585,0.10567488358139408,0.19268932617789966,0.20130325036769448,0.12423425881831478,0.21043317635397935
C1,no,Insulin,40.604026845637584,0.1219428609885113,0.15644039828342324,0.14596382909159408,0.21777931951987958,0.10567488358128163,0.19268932617789816,0.2013032503674188,0.12423425881888503,0.21043317635386508
C1,no,Insulin,40.939597315436245,0.12194286098851202,0.15644039828342282,0.14596382909159522,0.21777931952000065,0.1056748835811692,0.19268932617789666,0.20130325036714314,0.12423425881945528,0.21043317635375078
C1,no,Insulin,41.2751677852349,0.12194286098851274,0.1564403982834224,0.14596382909159633,0.21777931952012172,0.10567488358105674,0.19268932617789514,0.20130325036686747,0.12423425882002553,0.2104331763536365
C1,no,Insulin,41.61073825503356,0.12194286098851347,0.15644039828342202,0.14596382909159744,0.21777931952024276,0.10567488358094429,0.19268932617789364,0.2013032503665918,0.12423425882059579,0.21043317635352224
C1,no,Insulin,41.946308724832214,0.12194286098851417,0.1564403982834216,0.14596382909159855,0.21777931952036383,0.10567488358083185,0.19268932617789214,0.20130325036631613,0.12423425882116604,0.21043317635340794
C1,no,Insulin,42.281879194630875,0.1219428609885149,0.1564403982834212,0.14596382909159966,0.2177793195204849,0.1056748835807194,0.19268932617789064,0.20130325036604046,0.12423425882173629,0.21043317635329367
C1,no,Insulin,42.61744966442953,0.12194286098851562,0.1564403982834208,0.14596382909160077,0.21777931952060597,0.10567488358060696,0.19268932617788911,0.2013032503657648,0.12423425882230654,0.2104331763531794
C1,no,Insulin,42.95302013422819,0.12194286098851634,0.15644039828342038,0.14596382909160188,0.21777931952072704,0.10567488358049451,0.19268932617788762,0.20130325036548913,0.1242342588228768,0.2104331763530651
C1,no,Insulin,43.28859060402685,0.12194286098851706,0.15644039828342,0.145963829091603,0.2177793195208481,0.10567488358038207,0.19268932617788612,0.20130325036521346,0.12423425882344705,0.21043317635295083
C1,no,Insulin,43.624161073825505,0.12194286098851777,0.15644039828341957,0.1459638290916041,0.21777931952096918,0.10567488358026962,0.1926893261778846,0.2013032503649378,0.1242342588240173,0.21043317635283657
C1,no,Insulin,43.959731543624166,0.12194286098851832,0.15644039828341927,0.14596382909160496,0.21777931952106175,0.10567488358018359,0.19268932617788345,0.20130325036472696,0.12423425882445346,0.21043317635274916
C1,no,Insulin,44.29530201342282,0.12194286098851832,0.15644039828341927,0.14596382909160496,0.21777931952106283,0.10567488358018243,0.19268932617788345,0.20130325036472432,0.1242342588244589,0.21043317635274805
C1,no,Insulin,44.63087248322148,0.12194286098851832,0.15644039828341927,0.14596382909160496,0.21777931952106394,0.10567488358018125,0.19268932617788345,0.2013032503647217,0.12423425882446434,0.21043317635274697
C1,no,Insulin,44.966442953020135,0.12194286098851832,0.15644039828341927,0.14596382909160496,0.21777931952106502,0.10567488358018008,0.19268932617788345,0.20130325036471908,0.12423425882446978,0.2104331763527459
C1,no,Insulin,45.302013422818796,0.12194286098851832,0.15644039828341927,0.145963829091605,0.2177793195210661,0.1056748835801789,0.19268932617788345,0.20130325036471644,0.12423425882447522,0.21043317635274478
C1,no,Insulin,45.63758389261745,0.12194286098851834,0.15644039828341927,0.145963829091605,0.2177793195210672,0.10567488358017774,0.19268932617788345,0.2013032503647138,0.12423425882448066,0.2104331763527437
C1,no,Insulin,45.97315436241611,0.12194286098851834,0.15644039828341927,0.145963829091605,0.21777931952106827,0.10567488358017657,0.19268932617788345,0.20130325036471117,0.1242342588244861,0.2104331763527426
C1,no,Insulin,46.308724832214764,0.12194286098851834,0.15644039828341927,0.145963829091605,0.21777931952106938,0.10567488358017539,0.19268932617788342,0.20130325036470853,0.12423425882449154,0.2104331763527415
C1,no,Insulin,46.644295302013425,0.12194286098851834,0.15644039828341927,0.145963829091605,0.21777931952107046,0.10567488358017423,0.19268932617788342,0.2013032503647059,0.12423425882449698,0.21043317635274042
