,,,Slide ID,a,f,c,h,b,e,g,d
,,,Antibody Name,a,f,c,h,b,e,g,d
,,,HUGO ID,a,f,c,h,b,e,g,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8341213110038312,0.8648457680974811,0.5542780301525274,0.6504483569183955,0.5078956997143482,0.8367871909994596,0.6623267305830726,0.38542033107960505
C1,no,Insulin,0.33557046979865773,0.557784733520673,0.4688726571166847,0.38029707888062875,0.46762659829126885,0.3667982294885256,0.5438707839219521,0.3875218420674279,0.24948831333643792
C1,no,Insulin,0.6711409395973155,0.3930184317958501,0.30761914212315283,0.28271153957485384,0.33695410987083957,0.29431751199882084,0.35798800116573026,0.2637338617481998,0.1640876141997991
C1,no,Insulin,1.0067114093959733,0.29090946252531863,0.2334035014522191,0.22291188597169395,0.2443333808062482,0.25321418255324574,0.24021795767048226,0.2008295969600757,0.11074922209037885
C1,no,Insulin,1.342281879194631,0.22464255358920995,0.1925628499968983,0.18271816774032973,0.17898084159051106,0.22729849570757207,0.16551262268283945,0.1635247089738776,0.07740443165164804
C1,no,Insulin,1.6778523489932886,0.17957959908477172,0.16578849554895267,0.15361992026457186,0.13288525289652028,0.20916253330658569,0.11783763613015263,0.13811764914514946,0.056346208202048276
C1,no,Insulin,2.0134228187919465,0.14767506208494424,0.14609899437500162,0.13155639739645025,0.10028105023653648,0.19531092765670288,0.08707611733772382,0.11923964225136592,0.042799082142007866
C1,no,Insulin,2.348993288590604,0.12439495949222544,0.13082952647392607,0.1144508446294006,0.0771067627158996,0.184083979199483,0.06692220949280779,0.10464739903020069,0.0338671155746524
C1,no,Insulin,2.684563758389262,0.1070632368685861,0.11878618465391075,0.10109366471786659,0.06053427975078406,0.17469610814004502,0.053471915310450396,0.09323434439191454,0.0278123399898184
C1,no,Insulin,3.0201342281879198,0.09399958009437454,0.1092736385068199,0.0906648637064751,0.04860337583877098,0.1667651288693815,0.044311156031841145,0.08430890741354559,0.023591833858834108
C1,no,Insulin,3.3557046979865772,0.08407964249423305,0.10178411463592932,0.08254337275982955,0.039955112546825385,0.16007988324859448,0.03794098850966981,0.07735293179598333,0.020573734317112728
C1,no,Insulin,3.691275167785235,0.07651130163755367,0.0959073262037917,0.07623471667607397,0.033644115259418406,0.15449120787428583,0.03342206017738645,0.07194863865287827,0.01836804104353681
C1,no,Insulin,4.026845637583893,0.07071714710998485,0.09130604187307408,0.07134168365641454,0.02900903177288707,0.14986716761075056,0.030157455399439155,0.0677566736746145,0.01672767652915232
C1,no,Insulin,4.3624161073825505,0.0662681741095176,0.08770662241611513,0.06754795386865801,0.02558407511485387,0.14607982775572054,0.02776107308714935,0.06450552905098256,0.015491203162352493
C1,no,Insulin,4.697986577181208,0.06284259180597139,0.08489078379154551,0.06460478839963317,0.023038821899673885,0.14300533271700033,0.025978027635236246,0.061981716112698725,0.014549682850811412
C1,no,Insulin,5.033557046979866,0.06019790535999492,0.08268666772527156,0.06231869642189874,0.02113718814267615,0.1405278149897769,0.024636380819648775,0.06001953549557248,0.01382733643439547
C1,no,Insulin,5.369127516778524,0.05815085701176662,0.08096002763285476,0.060540253105856,0.01970931216888876,0.13854296145720688,0.023617608813473155,0.058491351900743345,0.013270034402317204
C1,no,Insulin,5.704697986577181,0.056562586723640756,0.07960633906735763,0.05915447761986466,0.018632158159658727,0.13695992501571125,0.022838309072008657,0.05729912785234944,0.012838263055200834
C1,no,Insulin,6.0402684563758395,0.05532759436939427,0.07854429699739163,0.0580729965499277,0.01781606352414956,0.13570164136913204,0.022238699286265443,0.05636757009836318,0.012502689054230928
C1,no,Insulin,6.375838926174497,0.05436544900793864,0.07771058845673086,0.05722781276873514,0.01719527676736709,0.13470403782446577,0.02177520124901162,0.05563872749536988,0.012241246553743923
C1,no,Insulin,6.7114093959731544,0.053614617408619766,0.07705582290469182,0.05656649737419239,0.01672131541429546,0.13391461234437363,0.021415604650965477,0.05506786355125945,0.012037176227268933
C1,no,Insulin,7.046979865771813,0.05302785793567989,0.07654142237888488,0.05604852867544202,0.016358230394681716,0.13329081786683442,0.02113581166334349,0.05462034704290113,0.01187765243948028
C1,no,Insulin,7.38255033557047,0.0525687733326052,0.07613719142368994,0.055642498683996504,0.016079232414192665,0.13279843413568848,0.02091761985250154,0.0542692818148418,0.01175280624827693
C1,no,Insulin,7.718120805369128,0.05220923214540794,0.07581949299548561,0.05532400925370252,0.01586424958811131,0.13241010321979912,0.02074716080071589,0.05399374035830314,0.011655007201422051
C1,no,Insulin,8.053691275167786,0.05192740986665811,0.07556974586173414,0.05507403888164806,0.015698172554835663,0.1321040188871441,0.020613802133445734,0.05377736750577059,0.011578336726724642
C1,no,Insulin,8.389261744966444,0.05170636411299505,0.07537339219605123,0.05487776403861231,0.015569593727714838,0.1318628783372447,0.020509357608614737,0.05360740056425649,0.011518195444964378
C1,no,Insulin,8.724832214765101,0.05153289831811991,0.0752190268494695,0.05472360431705728,0.015469845192021625,0.13167297127984728,0.0204274842240338,0.05347386395287858,0.011470995060823901
C1,no,Insulin,9.060402684563758,0.05139671155311553,0.07509765158622331,0.0546024882988974,0.01539232705051579,0.13152346197631118,0.020363262276460008,0.053368921996494297,0.011433937587136792
C1,no,Insulin,9.395973154362416,0.051289758544109804,0.07500221888532008,0.054507316766764735,0.015331991937457837,0.13140578584877383,0.020312859706380842,0.05328644331025538,0.011404834381409285
C1,no,Insulin,9.731543624161075,0.05120574159361816,0.0749271817185711,0.05443252049884914,0.01528496681627282,0.1313131832393823,0.020273286478308002,0.05322161213589472,0.011381972406842673
C1,no,Insulin,10.067114093959733,0.051139725596790336,0.07486817798173465,0.05437372806811856,0.015248270003800118,0.1312403201801319,0.020242204526684966,0.05317064620953368,0.011364008930955486
C1,no,Insulin,10.40268456375839,0.051087838384281596,0.07482177525406701,0.05432750494820742,0.01521959889030684,0.13118298870739029,0.02021778244273924,0.05313057240946711,0.011349890279117172
C1,no,Insulin,10.738255033557047,0.051047053589939426,0.07478528434005866,0.05429116373838974,0.015197179997121842,0.13113788519247177,0.020198590817355797,0.053099063363560454,0.011338792886500986
C1,no,Insulin,11.073825503355705,0.0510149990185297,0.07475659293299391,0.05426259601661145,0.015179640570866263,0.13110241165403216,0.020183510441290818,0.05307429233370141,0.01133007126036414
C1,no,Insulin,11.409395973154362,0.05098979909933707,0.07473403219290801,0.05424013436133021,0.015165905254264039,0.13107450909364626,0.0201716563713474,0.05305481548620373,0.011323214651975229
C1,no,Insulin,11.74496644295302,0.05096998632135122,0.07471629059960416,0.05422247242099534,0.015155142778466517,0.13105256165755458,0.020162337507365877,0.053039500038332923,0.011317823906171314
