,,,Slide ID,a,b,f,g,d,c,e
,,,Antibody Name,a,b,f,g,d,c,e
,,,HUGO ID,a,b,f,g,d,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8880016045769278,0.5478221317109478,0.7845600300635596,0.3458974092022654,0.2720621462318292,0.018045784055018776,0.6381700729565405
C1,no,Insulin,0.33557046979865773,0.47520082990468254,0.42400219092804725,0.5942338234717764,0.17760268834610116,0.18192402408479555,0.03828754170318096,0.5011356472808954
C1,no,Insulin,0.6711409395973155,0.297134329871855,0.33115821596641687,0.4538146814078419,0.09539829988874256,0.12372274202325062,0.042826329280755526,0.4030361739916355
C1,no,Insulin,1.0067114093959733,0.2172519764193959,0.26535746660410736,0.35306868917822276,0.053870742145644,0.08558975524553068,0.040251692568569586,0.33153697917391844
C1,no,Insulin,1.342281879194631,0.1786252937524639,0.2207145298560625,0.2824881121980409,0.032104666152696915,0.060310411264079156,0.03504238734069612,0.27887941418282175
C1,no,Insulin,1.6778523489932886,0.15773585012681762,0.1913213868467958,0.23388574712006618,0.020243661257935766,0.04339095467681197,0.029387404173321866,0.24000984238010867
C1,no,Insulin,2.0134228187919465,0.14496733328123584,0.17226319715920005,0.2007422341581966,0.013519153794747168,0.03197447919272102,0.024245712108074812,0.2114274458646686
C1,no,Insulin,2.348993288590604,0.13637849642082023,0.1599437029678994,0.17822373379053003,0.009555725303995028,0.024214730098830604,0.019946320950319157,0.19055529277996944
C1,no,Insulin,2.684563758389262,0.1302811038451132,0.15193953038444377,0.16292203740864322,0.007132174818714594,0.01890360165885631,0.01651789485137377,0.17543058648180612
C1,no,Insulin,3.0201342281879198,0.12586135016424727,0.14669298079398083,0.15250454291621046,0.005599540051944094,0.015243256644299192,0.01386309803209645,0.16454882279508515
C1,no,Insulin,3.3557046979865772,0.1226504902530268,0.14322332819678288,0.14539702300520774,0.004601046506052857,0.012703135345764184,0.011846062586335089,0.15676772634597436
C1,no,Insulin,3.691275167785235,0.12033184454580968,0.1409137667675814,0.14054061404913715,0.003933755423145716,0.010928365233201624,0.010332772372860994,0.15123261371756952
C1,no,Insulin,4.026845637583893,0.11867207995589767,0.1393716958098238,0.1372210302288582,0.0034782822601411687,0.009680238165167906,0.009207007926868996,0.14731284497342867
C1,no,Insulin,4.3624161073825505,0.11749465073115645,0.13834262414172668,0.13495371485833907,0.003162059652343948,0.008797183874262616,0.008374359498637837,0.1445483098891583
C1,no,Insulin,4.697986577181208,0.11666638483798285,0.13765852821281005,0.13340804296984551,0.0029395878554648864,0.008169085023032818,0.007760980834969514,0.1426061562396628
C1,no,Insulin,5.033557046979866,0.1160881410844333,0.13720683010480386,0.13235736353665442,0.002781500200932847,0.007720310602533182,0.007310436428030394,0.14124709991924916
C1,no,Insulin,5.369127516778524,0.11568719974523625,0.1369113894943784,0.1316458338603668,0.002668340782133262,0.007398487678820062,0.006980224809391216,0.1402999388804586
C1,no,Insulin,5.704697986577181,0.11541093431604109,0.13672052104646526,0.13116619969772075,0.0025869313754442644,0.007167060164935967,0.006738636689490394,0.13964268054141107
C1,no,Insulin,6.0402684563758395,0.1152217163661172,0.13659911521841414,0.13084462931385557,0.0025281676274058274,0.007000307640575396,0.0065621676927340375,0.1391886949943489
C1,no,Insulin,6.375838926174497,0.11509286888599371,0.13652342869699893,0.13063039981148322,0.002485667031111716,0.006880003964154563,0.006433453534263859,0.13887667594062475
C1,no,Insulin,6.7114093959731544,0.11500565178562196,0.13647748207851218,0.13048873552020443,0.00245490040109737,0.006793156512161911,0.006339707442707403,0.1386633934394223
C1,no,Insulin,7.046979865771813,0.1149469813007864,0.13645060750341637,0.13039587286162052,0.0024326252489012506,0.006730455680270464,0.006271530312767438,0.13851847346371635
C1,no,Insulin,7.38255033557047,0.11490777935700917,0.13643574658988802,0.13033563273276907,0.0024165053513854192,0.0066852039300430485,0.006222023659961408,0.13842065690539102
C1,no,Insulin,7.718120805369128,0.11488178306616266,0.13642828093449608,0.1302970500864087,0.002404850500671525,0.00665256943370387,0.006186131792908291,0.13835512817551546
C1,no,Insulin,8.053691275167786,0.11486469172140668,0.1364252277094657,0.13027272892141245,0.0023964343332833135,0.006629058448912044,0.006160153488863799,0.13831160457593492
C1,no,Insulin,8.389261744966444,0.11485356792750198,0.13642469116299133,0.13025770966250722,0.002390365936603911,0.006612142095908774,0.006141383023880381,0.13828298428782926
C1,no,Insulin,8.724832214765101,0.11484641480234226,0.13642548996395268,0.13024868674169823,0.002385997564086411,0.006599988267852501,0.006127844360907272,0.13826438507030203
C1,no,Insulin,9.060402684563758,0.11484188630022102,0.1364269107954631,0.13024348108313988,0.0023828593482764513,0.006591272475688342,0.006118099297037028,0.13825247857317027
C1,no,Insulin,9.395973154362416,0.11483906896793503,0.13642852859629345,0.1302406473572637,0.0023806081942446314,0.006585030246883594,0.006111095264266839,0.13824498301436672
C1,no,Insulin,9.731543624161075,0.1148373604550885,0.13643011560081741,0.13023926318093182,0.00237899680103622,0.006580568651301699,0.00610607161909492,0.13824037579028378
C1,no,Insulin,10.067114093959733,0.1148363612603096,0.1364315578090848,0.13023873755684268,0.00237784597036767,0.0065773868036433005,0.006102476220984593,0.13823763636532113
C1,no,Insulin,10.40268456375839,0.11483580646303897,0.13643280485381185,0.1302386910011326,0.002377025670248963,0.006575121706468993,0.006099907894852381,0.13823608048815872
C1,no,Insulin,10.738255033557047,0.11483552467260327,0.13643384982618495,0.13023889414810613,0.002376442257506377,0.006573512781038345,0.006098077043600316,0.13823526192064609
C1,no,Insulin,11.073825503355705,0.11483540478701092,0.13643470558124335,0.13023920812469522,0.0023760281347779315,0.00657237219298817,0.006096774297538237,0.13823488905323783
C1,no,Insulin,11.409395973154362,0.11483537891415911,0.1364353934615407,0.13023955311582,0.0023757350929939605,0.0065715660075560825,0.006095850134781957,0.13823477805024295
C1,no,Insulin,11.74496644295302,0.11483540415918438,0.13643593776651805,0.13023988480371534,0.002375528226377615,0.006570997519005426,0.006095196018838653,0.1382348110995912
C1,no,Insulin,12.080536912751679,0.11483545180238573,0.13643636409685,0.13024018206253388,0.002375382483715729,0.006570597524527054,0.006094733866533208,0.1382349143027907
C1,no,Insulin,12.416107382550337,0.11483550606061721,0.13643669557468843,0.13024043777210487,0.0023752802226256683,0.006570317221311319,0.006094408622878207,0.13823504540709705
C1,no,Insulin,12.751677852348994,0.11483556022174778,0.1364369503278138,0.13024065040600358,0.002375208587127704,0.006570121076299279,0.006094180084648837,0.13823518011995292
C1,no,Insulin,13.087248322147651,0.11483561072709197,0.1364371437144906,0.13024082239997722,0.0023751584012950662,0.00656998382796454,0.006094019465412253,0.13823530525793878
