,,,Slide ID,a,c,b,d
,,,Antibody Name,a,c,b,d
,,,HUGO ID,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9666999247461465,0.425867305470914,0.9197503127520705,0.3262597010236309
C1,no,Insulin,0.5050505050505051,0.4801594610795457,0.2712154101565991,0.5147118642122415,0.15883487177567207
C1,no,Insulin,1.0101010101010102,0.24373120016289462,0.21208718380147262,0.3208581974381097,0.09243610295862033
C1,no,Insulin,1.5151515151515151,0.12760611580253653,0.19008008421452324,0.22419832533717035,0.06206310257739473
C1,no,Insulin,2.0202020202020203,0.06962638406155276,0.18296446251206716,0.173420856841052,0.04573672657531641
C1,no,Insulin,2.5252525252525255,0.03999371120452127,0.18172449755046152,0.14471563401689147,0.03561100892895435
C1,no,Insulin,3.0303030303030303,0.02438919083915083,0.18262309883591907,0.12689644425210092,0.028708687170533573
C1,no,Insulin,3.5353535353535355,0.01587991553401255,0.18414974271670093,0.11472664263929094,0.023777006144008104
C1,no,Insulin,4.040404040404041,0.011061385344383955,0.185730348423141,0.1057721118851381,0.020192461056899078
C1,no,Insulin,4.545454545454546,0.008227073228071036,0.1871684320115049,0.09889011273511623,0.01758033161358064
C1,no,Insulin,5.050505050505051,0.006498834027721231,0.188410511000214,0.0935110136872897,0.015682876641268165
C1,no,Insulin,5.555555555555556,0.0054106344101483225,0.189453651784126,0.08930815475213881,0.014311220693734849
C1,no,Insulin,6.0606060606060606,0.004706520495558039,0.1903119143501155,0.08605504641925933,0.01332446220817694
C1,no,Insulin,6.565656565656566,0.004240749546384849,0.1910051692528316,0.08356981547741482,0.012617620949890246
C1,no,Insulin,7.070707070707071,0.003927279384990819,0.19155532525811605,0.08169709771792508,0.012113096878465093
C1,no,Insulin,7.575757575757576,0.0037135460634015504,0.19198461013626236,0.08030392266903284,0.011754051187020149
C1,no,Insulin,8.080808080808081,0.0035663861765604073,0.19231435914931314,0.0792790574796654,0.011499111854634812
C1,no,Insulin,8.585858585858587,0.0034643671661280817,0.19256407674185888,0.07853222686716121,0.011318446153839097
C1,no,Insulin,9.090909090909092,0.0033932914876395716,0.19275082687221257,0.07799222264028673,0.011190611208150163
