BESTFIT+KM3,Networkname,ACC,FULLFIT,Networkname,ACC,REVEAL,Networkname,ACC,Mean  ACC ,Mean  ACC BESTFIT,Mean ACC FULLFIT,Mean ACC REVEAL
5,Ecoli_12_5.sif,0.5416666667,5,Ecoli_14_5.sif,0.6428571429,5,Ecoli_14_5.sif,0.6683673469,,,,
5,Ecoli_14_5.sif,0.637755102,5,Ecoli_13_5.sif,0.7159763314,5,Ecoli_12_5.sif,0.5555555556,,,,
5,Ecoli_10_5.sif,0.6,5,Ecoli_11_5.sif,0.6115702479,5,Ecoli_10_5.sif,0.56,,,,
6,Ecoli_12_6.sif,0.5277777778,6,Ecoli_10_6.sif,0.51,6,Ecoli_13_6.sif,0.6331360947,,,,
6,Ecoli_10_6.sif,0.51,6,Ecoli_12_6.sif,0.5069444444,6,Ecoli_10_6.sif,0.51,,,,
6,Ecoli_13_6.sif,0.674556213,6,Ecoli_11_6.sif,0.4876033058,6,Ecoli_14_6.sif,0.5918367347,,,,
6,Ecoli_14_6.sif,0.5969387755,6,Ecoli_13_6.sif,0.6272189349,6,Ecoli_12_6.sif,0.5,,,,
6,Ecoli_11_6.sif,0.5123966942,6,Ecoli_14_6.sif,0.5918367347,6,Ecoli_11_6.sif,0.5371900826,,,,
7,Ecoli_10_7.sif,0.43,7,Ecoli_14_7.sif,0.5357142857,7,Ecoli_10_7.sif,0.42,,,,
7,Ecoli_13_7.sif,0.6094674556,7,Ecoli_11_7.sif,0.479338843,7,Ecoli_12_7.sif,0.4375,,,,
7,Ecoli_12_7.sif,0.4236111111,7,Ecoli_10_7.sif,0.45,7,Ecoli_11_7.sif,0.4545454545,,,,
7,Ecoli_14_7.sif,0.5408163265,7,Ecoli_13_7.sif,0.5798816568,7,Ecoli_13_7.sif,0.5976331361,,,,
7,Ecoli_11_7.sif,0.4876033058,7,Ecoli_12_7.sif,0.4652777778,7,Ecoli_14_7.sif,0.5612244898,,,,
8,Ecoli_10_8.sif,0.39,8,Ecoli_11_8.sif,0.4462809917,8,Ecoli_10_8.sif,0.39,,,,
8,Ecoli_12_8.sif,0.3472222222,8,Ecoli_10_8.sif,0.4,8,Ecoli_12_8.sif,0.3541666667,,,,
8,Ecoli_11_8.sif,0.4462809917,8,Ecoli_13_8.sif,0.5798816568,8,Ecoli_14_8.sif,0.4642857143,,,,
8,Ecoli_14_8.sif,0.4591836735,8,Ecoli_14_8.sif,0.5153061224,8,Ecoli_13_8.sif,0.5798816568,,,,
8,Ecoli_13_8.sif,0.5798816568,8,Ecoli_12_8.sif,0.3472222222,8,Ecoli_11_8.sif,0.4297520661,,,,
9,Ecoli_11_9.sif,0.4722222222,9,Ecoli_10_9.sif,0.35,9,Ecoli_12_9.sif,0.2708333333,,,,
9,Ecoli_13_9.sif,0.4911242604,9,Ecoli_13_9.sif,0.5147928994,9,Ecoli_13_9.sif,0.5147928994,,,,
9,Ecoli_14_9.sif,0.4132653061,9,Ecoli_11_9.sif,0.4583333333,9,Ecoli_11_9.sif,0.4722222222,,,,
9,Ecoli_12_9.sif,0.2777777778,9,Ecoli_14_9.sif,0.4285714286,9,Ecoli_10_9.sif,0.34,,,,
9,Ecoli_10_9.sif,0.34,9,Ecoli_12_9.sif,0.2847222222,9,Ecoli_14_9.sif,0.3979591837,,,,
