NON $ % + - . 0 1
#NON	a	d	g	b	c	f	e
0.0	0.8558781826049342	0.15393621489071685	0.38795998005495613	0.6077480612161416	0.5891475500716267	0.7355641046063645	0.4063683410795035
0.42016806722689076	0.46059093376872945	0.19530669497865918	0.30713509054070165	0.2798939359473523	0.3285198668983785	0.35734424896712097	0.35635276703429913
0.8403361344537815	0.29971465576721834	0.201828454393168	0.25731642668600735	0.18868973858004787	0.23517099448907405	0.23089578882522835	0.3221271405329638
1.2605042016806722	0.23313000833603487	0.19696522535586672	0.22581259434458828	0.16237071417138046	0.200465211901717	0.18771723008578847	0.2982669119849568
1.680672268907563	0.20476981922508403	0.18963780458457796	0.20547431724947057	0.15361751738056745	0.1864751957068178	0.17207617535414113	0.2815339514349156
2.100840336134454	0.1920958114996364	0.18290605971695004	0.1921332550907732	0.14970770282666154	0.179996823464943	0.16565385264608756	0.2698055423758362
2.5210084033613445	0.18601939513351617	0.17756139364833787	0.18327747829385185	0.14733887038775043	0.17645159503704325	0.16248195891738784	0.2616116641362964
2.9411764705882355	0.1828438684326677	0.17358694206954203	0.17734807775168215	0.1456651493224031	0.17422862983376294	0.16061112537071429	0.2559101129551424
3.361344537815126	0.18103389787564528	0.17073128365508045	0.17335353172608003	0.14443847477602637	0.17272280571215137	0.15937686781182867	0.25195809739340136
3.7815126050420167	0.17992531928033018	0.16871916142839852	0.17065078668659175	0.1435452832030706	0.17167018603627562	0.1585216763858233	0.24922789998363049
4.201680672268908	0.17921126239967136	0.16731775988830405	0.16881655290123265	0.14290491906796018	0.1709289239625858	0.15792086302491626	0.24734691084809665
4.621848739495799	0.1787369188076762	0.16634860712448787	0.16756913213330885	0.14245227481954678	0.17040819843424637	0.15749903234339657	0.24605376634627635
5.042016806722689	0.17841640895094396	0.1656813280389713	0.16671956278310493	0.14213574716696015	0.17004435515988672	0.15720436912213095	0.24516621581060521
5.46218487394958	0.17819798970084086	0.16522316704919712	0.16614037926540143	0.1419160845370516	0.16979151465309433	0.15699967510936733	0.2445578003923793
5.882352941176471	0.1780485754639671	0.16490914254475136	0.1657452585140837	0.14176443744792827	0.16961661865755706	0.15685814523711478	0.24414111661931992
6.302521008403361	0.17794622487062423	0.1646941491593954	0.16547557616057004	0.14166011173377283	0.16949606850813223	0.15676063798845938	0.24385593353225735
6.722689075630252	0.17787610110571234	0.1645470648263635	0.1652914533802118	0.1415885093895545	0.16941319730885548	0.15669363604648412	0.24366085029588203
7.142857142857143	0.17782807110823684	0.164446485975171	0.1651657175082215	0.14153944197057783	0.16935633600981181	0.15664768007229365	0.24352744821080255
7.563025210084033	0.17779518922841642	0.16437773174549095	0.16507984324821848	0.14150585298093743	0.1693173747723572	0.15661620048381278	0.24343625160244095
7.983193277310924	0.17777268841934118	0.16433074119360944	0.16502118706949348	0.14148287503407236	0.1692907034766277	0.15659465580688503	0.24337391859464305
8.403361344537815	0.17775730016442592	0.16429863599560027	0.1649811276863991	0.1414671660268893	0.1692724604693373	0.15657992193447198	0.2433313282682877
8.823529411764707	0.17774677387026655	0.16427669052223107	0.16495375141036298	0.14145642453158616	0.16925998208677787	0.15656984518747297	0.24330221397176413
9.243697478991598	0.17773957876734342	0.1642616967722911	0.16493505173587006	0.14144908294626152	0.16925145161352667	0.15656295701993544	0.24328232165706326
9.663865546218487	0.17773466018893913	0.16425145200247007	0.16492227582984056	0.14144406594036674	0.1692456210500416	0.1565582493522139	0.24326872922317697
10.084033613445378	0.17773129916761654	0.1642444527099814	0.16491354827419047	0.14144063820114766	0.16924163672354162	0.15655503258873826	0.24325944263149976
10.504201680672269	0.17772900273028167	0.16423966958023678	0.16490758530432287	0.1414382945077904	0.1692389134559226	0.1565528336322088	0.24325309655421362
10.92436974789916	0.1777274318398048	0.1642364028085861	0.16490351086921792	0.14143669447588345	0.16923705297970887	0.1565513318617127	0.2432487616199653
11.344537815126051	0.17772635951585572	0.16423417016175842	0.16490072759888838	0.1414356018799853	0.16923578154341284	0.15655030558661254	0.24324579931916998
11.764705882352942	0.1777256282520394	0.16423264412035488	0.1648988258925683	0.14143485324875973	0.16923491387467818	0.15654960457290829	0.243243774886686
12.184873949579831	0.17772512602371346	0.1642316029536662	0.16489752665400836	0.141434342729921	0.16923431986700802	0.15654912529498854	0.24324239292030897
12.605042016806722	0.1777247841345943	0.16423089089777118	0.16489663908840035	0.14143399438826557	0.169233914425284	0.15654879800945562	0.24324144817427157
13.025210084033613	0.1777245504687904	0.16423040447842902	0.1648960327144614	0.14143375644733117	0.16923363739372263	0.1565485743944893	0.24324080277202567
13.445378151260504	0.17772439062859252	0.16423007196307216	0.1648956181438615	0.1414335934701997	0.1692334479480323	0.15654842146218506	0.2432403615514539
13.865546218487395	0.1777242815454372	0.1642298449587286	0.16489533513260418	0.1414334822904425	0.16923331866111388	0.15654831709607753	0.24324006034185386
14.285714285714286	0.17772420654624632	0.1642296888901803	0.16489514055681562	0.1414334058360696	0.16923322977197955	0.15654824533839304	0.24323985325535136
14.705882352941178	0.17772415507089137	0.164229581770434	0.1648950070069292	0.14143335336693	0.16923316876489486	0.15654819608909645	0.24323971111876902
15.126050420168067	0.1777241210806574	0.16422951103512884	0.16489491881860788	0.141433318725985	0.16923312848206049	0.15654816356997658	0.24323961726048393
15.546218487394958	0.17772409841468417	0.16422946386575213	0.16489486001069	0.1414332956313744	0.16923310162073257	0.15654814188580024	0.24323955467165595
15.966386554621849	0.17772408259748754	0.16422943095045994	0.1648948189739252	0.14143327951796342	0.16923308287533473	0.15654812675341126	0.24323951099646723
16.386554621848738	0.17772407158814113	0.16422940804202218	0.164894790413189	0.1414332683025012	0.16923306982647593	0.1565481162194159	0.2432394805993231
16.80672268907563	0.1777240638675948	0.16422939197863856	0.1648947703865616	0.14143326043355503	0.16923306067361632	0.1565481088299407	0.24323945928488275
17.22689075630252	0.1777240584321742	0.16422938067002063	0.16489475628791528	0.1414332548852765	0.1692330542281448	0.15654810362516097	0.24323944427956856
17.647058823529413	0.17772405469769373	0.16422937289969272	0.16489474660054793	0.14143325106166652	0.16923304979883924	0.1565481000472649	0.24323943396922781
18.067226890756302	0.17772405213693687	0.16422936757004644	0.1648947399559557	0.14143324842581653	0.16923304676215056	0.15654809759332652	0.24323942689741865
18.487394957983195	0.1777240503513205	0.16422936385239645	0.1648947353209747	0.14143324657505996	0.16923304464652608	0.15654809588375115	0.24323942196451998
18.907563025210084	0.1777240491272946	0.16422936130325075	0.16489473214272818	0.14143324529602774	0.16923304319857457	0.1565480947147041	0.24323941858205445
19.327731092436974	0.1777240482796861	0.16422935953830245	0.16489472994215362	0.14143324440541602	0.1692330421979809	0.1565480939089414	0.2432394162400905
19.747899159663866	0.17772404768459382	0.16422935830015686	0.1648947283984264	0.14143324378335018	0.16923304149602103	0.15654809334603753	0.24323941459713197
20.168067226890756	0.1777240472750064	0.16422935744907452	0.1648947273373509	0.14143324336528065	0.16923304101215014	0.15654809295995495	0.24323941346778807
20.58823529411765	0.17772404699143554	0.1642293568606036	0.16489472660376905	0.14143324309381441	0.16923304067493622	0.15654809269150613	0.24323941268695173
21.008403361344538	0.17772404679304116	0.16422935644880762	0.16489472609048328	0.14143324292721865	0.1692330404365354	0.15654809250023521	0.243239412140588
21.42857142857143	0.1777240466573456	0.16422935616657708	0.1648947257387151	0.14143324283969355	0.1692330402714793	0.15654809236496023	0.24323941176616545
21.84873949579832	0.17772404653771035	0.16422935591778232	0.16489472542861583	0.14143324275754152	0.16923304012628998	0.15654809224622404	0.24323941143609568
22.26890756302521	0.17772404640436465	0.1642293556416272	0.16489472508443873	0.14143324262696572	0.16923303996593939	0.15654809212001763	0.24323941106970515
22.689075630252102	0.17772404629738647	0.16422935541994388	0.1648947248081384	0.14143324252054246	0.1692330398376033	0.15654809201863568	0.24323941077558084
23.10924369747899	0.17772404621677584	0.1642293552527324	0.1648947245997149	0.14143324243827174	0.1692330397412817	0.1565480919420781	0.24323941055372278
23.529411764705884	0.17772404616253276	0.16422935513999276	0.1648947244591682	0.14143324238015356	0.1692330396769746	0.15654809189034496	0.243239410404131
23.949579831932773	0.17772404613465717	0.16422935508172495	0.16489472438649824	0.14143324234618793	0.169233039644682	0.15654809186343627	0.24323941032680543
24.369747899159663	0.17772404613314913	0.16422935507792896	0.1648947243817051	0.14143324233637486	0.16923303964440392	0.156548091861352	0.24323941032174615
24.789915966386555	0.1777240461580086	0.16422935512860481	0.16489472444478875	0.1414332423507143	0.16923303967614034	0.1565480918840921	0.24323941038895308
25.210084033613445	0.17772404619348117	0.1642293552012658	0.16489472453527346	0.14143324237554125	0.16923303972062226	0.15654809191688487	0.2432394104853292
25.630252100840337	0.17772404617769355	0.1642293551683252	0.16489472449419668	0.14143324235718824	0.16923303970217352	0.15654809190171634	0.24323941044161704
26.050420168067227	0.17772404616875873	0.16422935514961584	0.1648947244708602	0.14143324234606114	0.16923303969187112	0.15654809189307475	0.24323941041678762
26.47058823529412	0.1777240461666767	0.16422935514513767	0.16489472446526401	0.14143324234215995	0.1692330396897151	0.15654809189096006	0.24323941041084093
26.89075630252101	0.1777240461714475	0.1642293551548907	0.16489472447740813	0.1414332423454847	0.16923303969570547	0.1565480918953723	0.243239410423777
27.310924369747898	0.17772404618307108	0.16422935517887494	0.16489472450729253	0.14143324235603535	0.1692330397098422	0.15654809190631147	0.24323941045559583
27.73109243697479	0.17772404620154747	0.1642293552170904	0.16489472455491722	0.14143324237381194	0.16923303973212528	0.15654809192377753	0.24323941050629738
28.15126050420168	0.17772404622687668	0.16422935526953705	0.1648947246202822	0.14143324239881444	0.16923303976255474	0.15654809194777053	0.2432394105758817
28.571428571428573	0.17772404625483315	0.1642293553268566	0.16489472469166974	0.14143324242128383	0.16923303979727464	0.1565480919737399	0.2432394106519136
28.991596638655462	0.1777240462638166	0.16422935534557243	0.1648947247150057	0.141433242431	0.16923303980784382	0.15654809198235778	0.24323941067674862
29.411764705882355	0.17772404627280006	0.16422935536428826	0.1648947247383417	0.14143324244071614	0.169233039818413	0.1565480919909757	0.2432394107015836
29.831932773109244	0.1777240462817835	0.16422935538300407	0.16489472476167769	0.1414332424504323	0.1692330398289822	0.1565480919995936	0.24323941072641864
30.252100840336134	0.177724046290767	0.1642293554017199	0.16489472478501366	0.14143324246014846	0.16923303983955137	0.1565480920082115	0.24323941075125363
30.672268907563026	0.17772404629975044	0.1642293554204357	0.16489472480834966	0.1414332424698646	0.16923303985012053	0.1565480920168294	0.24323941077608865
31.092436974789916	0.1777240463087339	0.16422935543915154	0.16489472483168563	0.14143324247958075	0.16923303986068972	0.15654809202544728	0.24323941080092365
31.51260504201681	0.17772404631771738	0.16422935545786738	0.1648947248550216	0.1414332424892969	0.1692330398712589	0.1565480920340652	0.24323941082575867
31.932773109243698	0.17772404632670083	0.16422935547658318	0.1648947248783576	0.14143324249901307	0.16923303988182808	0.15654809204268308	0.24323941085059367
32.35294117647059	0.17772404632852273	0.16422935548037862	0.16489472488308993	0.1414332425009739	0.1692330398839728	0.15654809204443054	0.24323941085563003
32.773109243697476	0.17772404632880207	0.16422935548096024	0.16489472488381507	0.14143324250126424	0.1692330398843029	0.15654809204469808	0.24323941085640177
33.19327731092437	0.17772404632908143	0.16422935548154186	0.16489472488454024	0.14143324250155462	0.16923303988463304	0.15654809204496564	0.24323941085717354
33.61344537815126	0.17772404632936076	0.16422935548212347	0.16489472488526538	0.14143324250184497	0.16923303988496316	0.1565480920452332	0.2432394108579453
34.03361344537815	0.1777240463296401	0.1642293554827051	0.16489472488599055	0.14143324250213535	0.16923303988529326	0.15654809204550074	0.24323941085871706
34.45378151260504	0.17772404632991942	0.1642293554832867	0.1648947248867157	0.14143324250242573	0.16923303988562338	0.1565480920457683	0.2432394108594888
34.87394957983194	0.17772404633019878	0.16422935548386833	0.16489472488744084	0.14143324250271608	0.1692330398859535	0.15654809204603584	0.24323941086026057
35.294117647058826	0.1777240463304781	0.16422935548444995	0.164894724888166	0.14143324250300646	0.1692330398862836	0.1565480920463034	0.24323941086103232
35.714285714285715	0.17772404633075745	0.16422935548503156	0.16489472488889115	0.1414332425032968	0.16923303988661373	0.15654809204657097	0.2432394108618041
36.134453781512605	0.17772404633103678	0.16422935548561318	0.16489472488961632	0.1414332425035872	0.16923303988694385	0.1565480920468385	0.24323941086257583
36.554621848739494	0.17772404633131614	0.1642293554861948	0.16489472489034146	0.14143324250387754	0.16923303988727395	0.15654809204710607	0.2432394108633476
36.97478991596639	0.17772404633159547	0.16422935548677642	0.16489472489106663	0.14143324250416792	0.16923303988760408	0.15654809204737363	0.24323941086411935
37.39495798319328	0.1777240463318748	0.16422935548735804	0.16489472489179177	0.14143324250445827	0.1692330398879342	0.15654809204764117	0.24323941086489112
