,,,Slide ID,b,e,f,a,c,d
,,,Antibody Name,b,e,f,a,c,d
,,,HUGO ID,b,e,f,a,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.47193373761108715,0.6881013065381266,0.3213480769243403,0.3630595173793384,0.5730605456226032,0.7445334036995354
C1,no,Insulin,0.33557046979865773,0.27977569671708036,0.40355743575526776,0.2660989713365793,0.2185509640951895,0.40890816515928113,0.43470892818055584
C1,no,Insulin,0.6711409395973155,0.17372171946239218,0.24589642632436934,0.22915218727365516,0.13944140556567655,0.30340111212279464,0.29895687589924197
C1,no,Insulin,1.0067114093959733,0.11457865573591837,0.15789641639751176,0.2008604128039059,0.0955107133763931,0.23349466285626586,0.2308098491095256
C1,no,Insulin,1.342281879194631,0.08100698079314436,0.10817654682084656,0.17827171012573623,0.07054728409767934,0.18621621489162085,0.1916572664332896
C1,no,Insulin,1.6778523489932886,0.06145872551175478,0.07957500778333729,0.1604261787683437,0.055898906408394684,0.1538679717084436,0.1669430009743179
C1,no,Insulin,2.0134228187919465,0.04972093023620325,0.0627414752141322,0.14666957670432776,0.04697557368577959,0.13159858017025566,0.1505168709811549
C1,no,Insulin,2.348993288590604,0.042441523982402356,0.052574787673114645,0.13630084413808272,0.041332299928815056,0.11621030752029705,0.1393091990347492
C1,no,Insulin,2.684563758389262,0.037786361000145346,0.04626789133685252,0.1286130116260043,0.037642422578896856,0.10554353404612987,0.1315466715941177
C1,no,Insulin,3.0201342281879198,0.034727671164527324,0.042252251485253474,0.12297372952303139,0.03516316399573833,0.0981252524558268,0.1261133615192687
C1,no,Insulin,3.3557046979865772,0.032671887371312026,0.03963331228254784,0.11886384204188427,0.033461984945558174,0.09294762629193856,0.12227821824014934
C1,no,Insulin,3.691275167785235,0.031264703980553386,0.037888597103245304,0.11587947433985216,0.032276343900724674,0.08932018904224895,0.11955245471595374
C1,no,Insulin,4.026845637583893,0.030287588971109825,0.03670501424436472,0.11371646883596732,0.03144058492119937,0.08676911234339009,0.1176045143945715
C1,no,Insulin,4.3624161073825505,0.0296015834062802,0.03588995275778436,0.11215008870755887,0.03084664056657038,0.08496837938237069,0.1162065733136711
C1,no,Insulin,4.697986577181208,0.029115911947810467,0.03532183061588734,0.11101606325884292,0.03042208294682803,0.08369288109520483,0.11520020777811174
C1,no,Insulin,5.033557046979866,0.028769903638649286,0.034922024708917164,0.11019502007995916,0.030117344434696946,0.0827865419129829,0.11447410087008338
C1,no,Insulin,5.369127516778524,0.02852224100677623,0.03463857260808282,0.10960047464714764,0.0298979649890666,0.08214067870571576,0.11394937218966306
C1,no,Insulin,5.704697986577181,0.028344351996761472,0.03443645940444874,0.10916984842327922,0.029739701162654304,0.0816792615072551,0.11356975275748206
C1,no,Insulin,6.0402684563758395,0.028216253285051195,0.03429172288343967,0.10885787132725352,0.0296253572145046,0.0813488798144553,0.11329489516820077
C1,no,Insulin,6.375838926174497,0.028123833194505763,0.034187735237678325,0.1086318089330126,0.029542655530534687,0.08111186496400011,0.11309579079670105
C1,no,Insulin,6.7114093959731544,0.02805706268546292,0.034112843092479465,0.10846797068254478,0.02948279487746486,0.08094154682645537,0.11295150525084571
C1,no,Insulin,7.046979865771813,0.028008773473794706,0.03405880710905643,0.10834921211415482,0.029439442674336597,0.08081898121409647,0.11284692151070351
C1,no,Insulin,7.38255033557047,0.02797382523824957,0.034019768035693815,0.10826312206786687,0.02940803494760733,0.08073067476486609,0.11277110445197328
C1,no,Insulin,7.718120805369128,0.027948516607296494,0.03399153350962147,0.10820070388277835,0.02938527276441544,0.0806669805370771,0.11271613155795725
C1,no,Insulin,8.053691275167786,0.027930181206016463,0.033971098080660865,0.10815544446308871,0.029368772739554117,0.08062099785622337,0.1126762682708426
C1,no,Insulin,8.389261744966444,0.027916895974938283,0.033956301828027564,0.10812263042430179,0.029356812272916047,0.08058778271312922,0.11264736494951053
C1,no,Insulin,8.724832214765101,0.027907266536260397,0.03394558278381199,0.10809883547303506,0.0293481403499409,0.0805637715263586,0.11262640491319821
C1,no,Insulin,9.060402684563758,0.027900288004584894,0.03393781772518193,0.10808158440079005,0.029341854237607688,0.08054641001639744,0.11261120777766213
C1,no,Insulin,9.395973154362416,0.027895228715718614,0.03393218969955002,0.10806907539821582,0.02933729623921611,0.08053384791497081,0.1126001879589024
C1,no,Insulin,9.731543624161075,0.027891557222849805,0.03392810616614615,0.10805999862967731,0.02933398817766994,0.08052474758586108,0.11259219355033001
C1,no,Insulin,10.067114093959733,0.027888896465264795,0.033925147514899764,0.10805341776445442,0.02933159043670768,0.08051816136302983,0.11258639613195227
C1,no,Insulin,10.40268456375839,0.027886968540518538,0.03392300398629966,0.10804864444870842,0.02932985305045313,0.08051339194815921,0.11258218656266207
C1,no,Insulin,10.738255033557047,0.027885568757156986,0.03392144766257,0.10804518382803922,0.029328591573105484,0.08050993583979517,0.1125791391752787
C1,no,Insulin,11.073825503355705,0.027884554200619308,0.03392031985880823,0.10804267461418621,0.029327677120909057,0.080507432838046,0.11257692933302982
C1,no,Insulin,11.409395973154362,0.027883818284283792,0.03391950182825389,0.10804085522001318,0.029327013795968443,0.08050561908624337,0.11257532766062918
C1,no,Insulin,11.74496644295302,0.02788328486388855,0.033918908886742385,0.10803953537188395,0.029326533015063255,0.08050430443871559,0.11257416466999483
C1,no,Insulin,12.080536912751679,0.027882897910730294,0.03391847876686364,0.10803857809000689,0.029326184239576395,0.08050335137958053,0.11257332132467594
C1,no,Insulin,12.416107382550337,0.02788261760140729,0.03391816719162561,0.10803788461266473,0.029325931584849883,0.08050266127029942,0.11257271036698278
C1,no,Insulin,12.751677852348994,0.027882415396781324,0.033917942434998724,0.10803738434093323,0.02932574932876699,0.08050216362473178,0.11257226960279677
C1,no,Insulin,13.087248322147651,0.027882267556760015,0.0339177781075876,0.10803701858808651,0.02932561607299697,0.0805017998828219,0.11257194737375141
C1,no,Insulin,13.422818791946309,0.02788216027353579,0.03391765886063315,0.10803675317148634,0.029325519372821532,0.08050153599307686,0.1125717135413996
C1,no,Insulin,13.758389261744966,0.02788208245963678,0.033917572369517646,0.10803656065374845,0.029325449234989486,0.08050134462591726,0.1125715439255347
C1,no,Insulin,14.093959731543626,0.02788202592534751,0.03391750953115453,0.10803642078475845,0.029325398277483976,0.08050120561629623,0.11257142069684098
C1,no,Insulin,14.429530201342283,0.027881984894487455,0.03391746392514127,0.10803631927486504,0.029325361293953512,0.08050110474424528,0.11257133126654223
C1,no,Insulin,14.76510067114094,0.027881955135546727,0.03391743084799052,0.10803624565177797,0.029325334470431067,0.08050103159315593,0.11257126640480988
C1,no,Insulin,15.100671140939598,0.027881933529113754,0.03391740683240011,0.1080361921970703,0.029325314995257902,0.08050097848718579,0.112571219310604
C1,no,Insulin,15.436241610738255,0.027881918081389224,0.03391738966219618,0.10803615397470359,0.029325301071401997,0.08050094052148998,0.11257118563180103
C1,no,Insulin,15.771812080536913,0.027881907084507225,0.03391737743912834,0.10803612676370766,0.02932529115935196,0.08050091349788255,0.11257116165406023
C1,no,Insulin,16.107382550335572,0.027881899399082324,0.03391736889677435,0.10803610774616143,0.02932528423208899,0.08050089461539058,0.11257114489571125
C1,no,Insulin,16.44295302013423,0.027881893701952164,0.033917362564449174,0.10803609365296356,0.02932527909687054,0.08050088061898711,0.11257113248110105
