NON $ % + - . 0
#NON	a	f	b	d	c	e
0.0	0.4967332306189499	0.6079279671284741	0.15876693808025	0.8208956702777108	0.9727819109972711	0.06676893584722576
0.5050505050505051	0.31430469086451285	0.3435455637945742	0.2433850406208038	0.5162092941017048	0.47615785142915634	0.1951337014920017
1.0101010101010102	0.23615378650749053	0.2348977478069121	0.25607282784833685	0.32876376029692056	0.28822421579155744	0.2030654064523097
1.5151515151515151	0.19818519523480269	0.18576568111401057	0.24143259603864856	0.21443106825862196	0.21192440150358527	0.1880197802594247
2.0202020202020203	0.17872408991103061	0.16290836541155615	0.21816637011305517	0.14526344969812882	0.17952583800637797	0.1740663507966955
2.5252525252525255	0.16888415571160295	0.15273421767643233	0.1944678707551369	0.1037522093778395	0.1658815923154276	0.16516879431725406
3.0303030303030303	0.16425537120403544	0.14882143888036609	0.17390157601092332	0.07904302838796202	0.16068174299146726	0.16044589316552527
3.5353535353535355	0.16239015952372665	0.14789718014611655	0.15772165766655372	0.06446518619090776	0.15930029419022806	0.15835912254474377
4.040404040404041	0.16189898248194992	0.14825984728626915	0.145915106154526	0.055948789141696154	0.15953445521887233	0.15771026853158793
4.545454545454546	0.1620150848012294	0.14904640414803053	0.137818083059247	0.051027548317881186	0.16032066621758215	0.15774260634789208
5.050505050505051	0.16233951874889607	0.1498528121615205	0.1325437898529533	0.04821772338849607	0.16116977906965954	0.15803275099215397
5.555555555555556	0.16268378241264486	0.15052171726356828	0.1292505184410443	0.04663416028849728	0.16188832317225857	0.15836956461766727
6.0606060606060606	0.16297341978518012	0.15101907049473526	0.12726418801576733	0.045754041815459626	0.16242847795422438	0.15866380437540897
6.565656565656566	0.1631907394141799	0.15136389931836633	0.12609999378850192	0.04527211450466159	0.16280571101166955	0.15888958838680134
7.070707070707071	0.16334253184451653	0.15159135687294356	0.1254340757635977	0.04501241113404669	0.1630558808380866	0.15904980170182526
7.575757575757576	0.16344332106936554	0.1517357923477357	0.12506127903561895	0.04487485995299297	0.16321541368896114	0.15915748627975407
8.080808080808081	0.16350772034658798	0.15182476430383354	0.12485666900601114	0.04480339990148588	0.16331403225784138	0.15922698068664623
8.585858585858587	0.16354761970596024	0.15187819791464724	0.12474651876934696	0.044767085931863654	0.1633734393510536	0.15927040408579035
9.090909090909092	0.1635717118304427	0.15190959132894516	0.12468838768349338	0.04474911537896729	0.16340843682096898	0.1592968208720513
9.595959595959597	0.16358593866626747	0.15192767594161682	0.1246583482793804	0.04474050787548842	0.16342864770563495	0.15931252581835437
10.101010101010102	0.1635941751687799	0.1519379068474643	0.12464319522280767	0.04473656563484598	0.16344010843692824	0.15932167510862746
10.606060606060607	0.1635988573752736	0.1519435948642199	0.12463576634896913	0.044734873326062484	0.16344649485884838	0.15932690691580256
11.111111111111112	0.1636014722957947	0.1519467028529946	0.12463225631073437	0.044734223384696827	0.16344999250883663	0.15932984596585867
11.616161616161618	0.16360290853924764	0.15194837197862268	0.12463067681174643	0.04473402721017216	0.16345187543258996	0.15933146955116964
12.121212121212121	0.16360368226766123	0.1519492503634926	0.12463002314720413	0.044734012539719474	0.16345286888610588	0.15933234988502593
12.626262626262626	0.1636040927627351	0.1519497032904753	0.12462978646917934	0.04473405522289371	0.1634533827306285	0.15933281919755735
13.131313131313131	0.16360430526637124	0.15194993162603337	0.12462972643231972	0.04473410632596006	0.16345364260388656	0.15933306436764105
13.636363636363637	0.1636044123340286	0.15195004311574933	0.1246297333879442	0.044734149474851215	0.16345376998451192	0.15933318921873924
14.141414141414142	0.16360446686708918	0.15195009608300264	0.12462975822841557	0.0447341806270112	0.16345383093565458	0.15933325230217926
14.646464646464647	0.16360449303056981	0.15195012054929521	0.12462978322097186	0.04473420166553174	0.16345385924819775	0.15933328323153179
15.151515151515152	0.1636045038050389	0.1519501306661892	0.12462980365100997	0.04473421563261438	0.1634538710308483	0.15933329719478564
15.656565656565657	0.1636045088951748	0.15195013402423302	0.12462981884892087	0.04473422440646416	0.16345387511475892	0.15933330331497206
16.161616161616163	0.16360451090190226	0.15195013479714056	0.12462982892913377	0.044734229656041326	0.16345387615731624	0.15933330570581236
16.666666666666668	0.16360451148181435	0.15195013478137817	0.12462983558465592	0.044734232998715005	0.16345387623248334	0.15933330665814624
