NON $ % + - . 0 1 2 3 4
#NON	g	d	i	e	a	j	f	h	b	c
0.0	0.5523101321262514	0.09691844282889839	0.09209945137544362	0.5777146810025232	0.22312708360293	0.5361030367792624	0.101960285247928	0.3873447561812279	0.9546771130147655	0.0034705379949662163
0.42016806722689076	0.3049841302404384	0.1726887649921581	0.12577564943322445	0.25765033241251195	0.17624687172618406	0.23744674764469056	0.08960504545855533	0.23391235745508018	0.5301887445583412	0.10358055882046027
0.8403361344537815	0.20000412129768053	0.19504470015755637	0.14046303953138867	0.15939454523026853	0.1553371951562474	0.11470074812985322	0.07405846836453735	0.19745025681135428	0.3221937067400282	0.13737286585225908
1.2605042016806722	0.15171444725215358	0.20184293258289507	0.14713765081827443	0.12365454301822593	0.14630279812520067	0.06313248973411115	0.0600533236830976	0.18909362498631377	0.21711074929909022	0.15012891944334125
1.680672268907563	0.12660146148458068	0.2043813823781719	0.15057619082302273	0.10612577642617603	0.14278902693917958	0.040494035225200745	0.048700150483614216	0.1874541371498904	0.16173522775902607	0.1559451940457172
2.100840336134454	0.11149400710100957	0.20590082610731034	0.1527774794277383	0.09465683789093114	0.1418804219666716	0.030005144649090505	0.04000429617473396	0.1873980673784319	0.13086678011884545	0.15937012890291705
2.5210084033613445	0.1012014329701876	0.20724075388677257	0.15453077740508694	0.08597351776157026	0.1422021150181658	0.024901919137470682	0.03360164481438273	0.18772794518804498	0.11247616201160608	0.1619084929799003
2.9411764705882355	0.09365618159262012	0.20855046899100313	0.15610822708010316	0.07917321704182922	0.1430768673597778	0.022330569676380564	0.02902560339788875	0.1881607320635882	0.10077948059599788	0.1640412867016356
3.361344537815126	0.0879800533714944	0.20980205931149143	0.15757106633279608	0.07392026630531057	0.14415322480381892	0.021009859789950815	0.025829303902176037	0.18861398731534246	0.09294601721606191	0.16589781246475785
3.7815126050420167	0.08372392196997018	0.21094176484427452	0.15890621311527425	0.06997448603081298	0.14524195165207404	0.020328453114445345	0.023636748096393732	0.1890499392610817	0.08752987627023558	0.16749681980570505
