NON $ % + - . 0
#NON	e	a	c	f	d	b
0.0	0.5776155270572488	0.16447973868174304	0.7883002127062038	0.03472870901111669	0.537463334279363	0.8396256263210957
0.42016806722689076	0.3094260603158853	0.14273376872923155	0.3704035807332362	0.06718108525670455	0.3790131268722194	0.5306106751992611
0.8403361344537815	0.19963956639863895	0.11729546556147656	0.21256952374034818	0.060921740678313796	0.26749766410390163	0.3691858714425285
1.2605042016806722	0.1497581809435121	0.09480553488087098	0.14817734212507452	0.04851082351814821	0.18964473412130994	0.2785666015150857
1.680672268907563	0.1262095564806471	0.07710932059534897	0.12070187594867987	0.03805316569665693	0.1356827281112452	0.2228555192438958
2.100840336134454	0.11558889091511103	0.06389149402869924	0.10932656026841656	0.030494177114771898	0.0984091201770392	0.1852482079998526
2.5210084033613445	0.11165663779491297	0.054171472930844136	0.10552641364527962	0.025165013990865067	0.07263706194593461	0.1578029380280823
2.9411764705882355	0.11118787732081696	0.04697347260952628	0.10540979407760905	0.021326006368106495	0.054727958437043825	0.13666538307776482
3.361344537815126	0.11242708678036685	0.04153835074111316	0.10703939365422868	0.018462096529416768	0.04218070628766861	0.11985923398083258
3.7815126050420167	0.1144064940311856	0.03733575042313617	0.10940060698987188	0.016256504626340956	0.0332978709621307	0.10627560487203538
4.201680672268908	0.11660108808446717	0.03401322481495339	0.11195535075948385	0.014518590851426014	0.02693432152728808	0.09521660700447235
4.621848739495799	0.11873847512250991	0.031339870471505916	0.11442574586198502	0.013129625309660572	0.022317974936724258	0.08619144818789937
5.042016806722689	0.12068960387075724	0.02916241054704732	0.11667942121517871	0.012010751069486693	0.018926406950517657	0.07882551276263632
5.46218487394958	0.1224050994269439	0.027375565675719103	0.11866521567023704	0.011105834052037503	0.01640375202174863	0.0728188989268485
5.882352941176471	0.12387822760417985	0.025903594256962183	0.12037613229812939	0.010372611606521987	0.014505408022251663	0.06792613530364493
6.302521008403361	0.1251236100932713	0.02468932389542219	0.12182786866613372	0.009778065171192124	0.013061447020903208	0.06394478343369932
6.722689075630252	0.12616522546854828	0.023687789041947748	0.12304647632809013	0.009295844557134276	0.011952396155232007	0.060707800231861384
7.142857142857143	0.12702986575670025	0.02286256463716392	0.12406143898355956	0.00890470124236387	0.011093203629355375	0.058077677568729426
7.563025210084033	0.12774372281698168	0.022183602621701715	0.12490192612337388	0.008587428389665175	0.010422542287285076	0.05594159597391378
7.983193277310924	0.12833076616544162	0.021625876547556554	0.12559492294869062	0.008330068771708549	0.009895622728206955	0.05420726523610136
8.403361344537815	0.12881211310677648	0.021168467351735585	0.12616443209224287	0.008121298754931994	0.009479326530455447	0.05279937820769451
8.823529411764707	0.12920592965598282	0.020793888257108428	0.1266312744044402	0.007951932898758455	0.009148874596847503	0.05165660153145873
9.243697478991598	0.12952759800489824	0.02048754965907075	0.127013206661844	0.00781452248246697	0.008885522919040092	0.05072905230262119
9.663865546218487	0.12979000231404772	0.020237313183650015	0.12732519289513555	0.00770302830693897	0.00867495007632064	0.04997619900893407
10.084033613445378	0.13000385214284685	0.020033110380000062	0.12757973573811243	0.0076125539309035	0.008506113288016398	0.049365126443366276
10.504201680672269	0.13017799926243548	0.019866615696212273	0.1277872139678042	0.007539129886800145	0.008370431946744356	0.048869118313994236
10.92436974789916	0.13031972992385274	0.01973096593437951	0.127956199864404	0.007479539926547236	0.008261190436060198	0.04846649876199426
11.344537815126051	0.13043502495372586	0.019620511859557047	0.12809375357856276	0.007431172212365419	0.00817309852959528	0.048139666053253816
11.764705882352942	0.13052877962461415	0.019530619231086083	0.12820566696042424	0.007391911118094405	0.008101973391005601	0.04787434742311575
12.184873949579831	0.13060499641830078	0.019457492727625127	0.12829668263768212	0.007360042465497666	0.008044486820480114	0.04765896235440816
12.605042016806722	0.13066694062917197	0.01939802580795031	0.12837067965099566	0.007334172627133541	0.007997984228000828	0.04748410816967809
13.025210084033613	0.13071727339429426	0.019349680885284916	0.1284308245397157	0.0073131703348132855	0.0079603418740227	0.04734215502758601
13.445378151260504	0.13075816728868925	0.019310388443624624	0.12847969919828098	0.007296122630418283	0.007929854651967863	0.04722691440823077
