NON $ % + - . 0 1 2 3 4 5 6
#NON	g	l	e	c	i	b	k	j	f	d	h	a
0.0	0.03680517001416139	0.5532415002866199	0.9855028436806593	0.28526321544910327	0.2892544175762273	0.6207110152933661	0.01982980473763407	0.45780492225765035	0.6826459521999201	0.0628603714235183	0.23471738461029723	0.9851921891936094
0.42016806722689076	0.09337528169651604	0.3740364961148795	0.5927693558126946	0.23495222419861414	0.2955534344186344	0.3472224187867893	0.11377634552493324	0.27716518485131225	0.43696169733835427	0.12176876842463447	0.26104986000291797	0.34722168296312467
0.8403361344537815	0.11151661428061606	0.2518649590217345	0.35563499495479334	0.21788372654411708	0.2387460417324698	0.2006530202105327	0.12517616672121357	0.21821427505718963	0.28792299107712216	0.13747374354521347	0.24160404210774886	0.13601430393197853
1.2605042016806722	0.11893037008602836	0.1690979744336615	0.2129038552586689	0.21031501188657606	0.17945669692131486	0.11950135511877517	0.10794507790915846	0.19800705555536707	0.19298629901292327	0.143249396611796	0.20513104806517185	0.06029063304122424
1.680672268907563	0.12298029007428049	0.11351268692073455	0.12750509269282262	0.20385080617705995	0.1332772744664933	0.07345436639245512	0.08516590800351873	0.18857901878244046	0.13274634912674738	0.1464927765897373	0.16673895654597734	0.030333519522274092
2.100840336134454	0.12529311670046814	0.07649231955877456	0.07668620141923375	0.1960472156817801	0.10073725555158927	0.04682942921385994	0.0650144027416753	0.1809764604382285	0.09480830833108597	0.1483251927118935	0.1328351201407243	0.017168011556101478
2.5210084033613445	0.12616733172197417	0.051989870372820705	0.04654434759835818	0.18673974491349482	0.07860379890784196	0.03116500527565952	0.049399503419923926	0.17284051574429843	0.07080870874599658	0.1487746748284121	0.10524730304692029	0.010770593147997522
2.9411764705882355	0.12576694153318038	0.03583096021424692	0.02867928229242192	0.17652553588879089	0.06362006525756625	0.021773111995647437	0.03799217683531055	0.16401704151505725	0.0553763453195103	0.14792675479541922	0.08376460280032327	0.007373408487951031
3.361344537815126	0.12434250978294219	0.025185353106144566	0.018070825173483077	0.16612656681594626	0.053371498537626676	0.016018086749631618	0.029884929189109913	0.15496845186232291	0.04521708049869227	0.14603590591210575	0.06745074734330107	0.005429370249380425
3.7815126050420167	0.122202075514125	0.018162675200144272	0.011743495074934803	0.1561444281021927	0.046244022166357056	0.012403830192461109	0.024187166656374843	0.14620852140471166	0.038354163124438595	0.14343510426725659	0.055240933512964815	0.004246388442730011
4.201680672268908	0.11965037863761016	0.01351414162038058	0.007943138880657999	0.14699266014027465	0.04119675887679061	0.01007313603035223	0.02018965839802476	0.1381252637398893	0.03360151140803756	0.14045170036821117	0.04617669683440824	0.003489677336387618
4.621848739495799	0.1169484568091889	0.010420843075190037	0.0056384232755510065	0.13890442429159583	0.03756131515745828	0.008529037275882854	0.017373657644755534	0.13095042058204942	0.030236715664555554	0.13736143673404239	0.039474476496812	0.0029857186939821747
5.042016806722689	0.11429624575781291	0.008348127692898192	0.004223364545870419	0.13196706515751933	0.03490356454257062	0.007479026099398442	0.015374968916736904	0.12478019216097279	0.027809398041762023	0.1343715380829359	0.034524776576731656	0.0026390359718926016
5.46218487394958	0.1118305643242045	0.006947585604546679	0.0033413768460237537	0.1261623903814679	0.0329361914674722	0.006747650865909761	0.013942923609476642	0.11961000563536756	0.0260310810293633	0.13162048047971245	0.03086681092390599	0.0023942825364580323
5.882352941176471	0.1096318260109817	0.005992115670549893	0.002781918018531626	0.12140396890502697	0.03146487619011528	0.006227309604605675	0.012906309112663864	0.11536918831871885	0.024711790456365356	0.1291864134840099	0.028158041044421885	0.00221788516383748
6.302521008403361	0.1077349287525135	0.005333398060442515	0.0024200248185851855	0.11756808857929041	0.030355438955058437	0.0058503743467624575	0.012148224006515364	0.11195038048636005	0.023723178943102195	0.12709946979527695	0.02614638720289265	0.0020886557448466236
6.722689075630252	0.10614151548079809	0.004874168138606665	0.002180943859724141	0.11451720464057509	0.029513329631572563	0.005573206710965074	0.011588426282963579	0.1092319344376358	0.02297641633824333	0.12535520912905113	0.024647288363027833	0.0019927476120644477
7.142857142857143	0.10483149596708437	0.004550346295642798	0.0020195594429225066	0.11211600900637753	0.028870791515361545	0.005366923072541217	0.011171408805254999	0.10709327306214811	0.022408778238505428	0.12392707077710056	0.02352599342405131	0.0019208419941982718
7.563025210084033	0.10377282200704353	0.004319391039232973	0.0019082790632207684	0.11024107304797118	0.028378499513331542	0.005211904268569108	0.010858339162709433	0.1054240891014806	0.02197514891671413	0.12277682539811142	0.022684063424948445	0.0018664985309325554
7.983193277310924	0.10292873905708778	0.004152842773880625	0.0018299922866878797	0.10878537448579456	0.02800008580995624	0.005094518770666476	0.01062173799574766	0.10412866790271243	0.0216425898755478	0.12186222124251075	0.022049487048289323	0.0018251692728889798
8.403361344537815	0.10226268826916315	0.004031490720276952	0.0017739086019125901	0.10765964276772362	0.027708479551031177	0.005005102022158399	0.010441933061138973	0.1031272255072928	0.02138677514155836	0.12114206693528327	0.021569467167923094	0.00179358386029415
8.823529411764707	0.10174118921036024	0.003942215212937078	0.001733082980202122	0.10679123091809159	0.02748331394949144	0.004936672347360748	0.010304655273131774	0.10235488177545513	0.021189519501317488	0.12057912734604379	0.021205110103724	0.0017693521327740277
9.243697478991598	0.10133514211695258	0.0038759645266575283	0.0017029576104052393	0.10612221837602868	0.02730917497103965	0.004884113798833724	0.010199447544436654	0.1017599681000115	0.0210371299280526	0.12014133594590952	0.020927665848043543	0.001750705934531223
9.663865546218487	0.10102021152821403	0.0038264243208533835	0.0016804778866756707	0.10560713010700501	0.02717433986128606	0.004843633594468859	0.010118574062674796	0.10130196508058785	0.020919234157450957	0.11980206356659327	0.020715803190787023	0.0017363246161305804
10.084033613445378	0.10077656567967029	0.0037891312747853406	0.001663549613487019	0.10521053791128385	0.027069836790456058	0.0048123883671775496	0.010056253595080944	0.10094932833931283	0.02082791938096272	0.11953972241526767	0.02055360296074053	0.0017252124436506423
10.504201680672269	0.10058834927813531	0.0037608967107236	0.0016507088711341235	0.10490506248248774	0.02698878344560476	0.004788230969881108	0.010008136590443518	0.10067769966222397	0.020757130889241786	0.11933712102999033	0.020429141993335773	0.0017166141166436357
10.92436974789916	0.10044305876508176	0.003739416428226956	0.0016409127759685377	0.10466961706212181	0.026925881358069618	0.004769529352359101	0.009970928515940924	0.10046832674755646	0.02070221658443448	0.11918074233323127	0.020333448744849266	0.0017099536086733222
11.344537815126051	0.10033092539987455	0.0037230081236899006	0.0016334060078952567	0.10448800569797274	0.026877043492615316	0.0047550368142174285	0.009942120998171019	0.10030681157943258	0.020659593576309133	0.11906004826179448	0.02025974595239022	0.0017047897609138924
11.764705882352942	0.10024436735380489	0.0037104323746427748	0.0016276339656500227	0.10434780357191263	0.02683911327844567	0.004743797501749414	0.009919796619514594	0.1001821107798957	0.020626498191831193	0.11896687061020353	0.020202896521426844	0.0017007836235574825
12.184873949579831	0.1001775273595174	0.0037007668938031373	0.001623183739794563	0.10423948663156836	0.026809648725761838	0.004735075868243289	0.009902483587439939	0.10008576082247726	0.020600794283330465	0.11889490708871134	0.020158990592034357	0.001697673980604344
12.605042016806722	0.10012587639340685	0.003693320097489927	0.0016197450902479798	0.10415573195109107	0.026786749717399534	0.00472830428091095	0.009889047202654475	0.10001125367249937	0.020580820290801032	0.1188392859581736	0.020125039460018875	0.0016952592219548245
