NON $ % + - . 0 1 2
#NON	c	e	h	a	g	b	d	f
0.0	0.5805636013868755	0.858503467379002	0.2739931041374033	0.37131268567628706	0.44689134773334416	0.261483459225897	0.26488221860509953	0.23956591177285325
0.42016806722689076	0.439109489138053	0.6207630279753548	0.12963111936590344	0.31808845851277634	0.38605159407802303	0.24493925002636402	0.2998047869988764	0.27602691457407036
0.8403361344537815	0.35546063101472936	0.4672170023498363	0.07852361068199698	0.29271759704237116	0.3546225342882033	0.22875588091956692	0.3005016751341547	0.2662111335966559
1.2605042016806722	0.3029695034851395	0.36815492160410673	0.058354189538892175	0.2731064127274644	0.3330259425541038	0.21229927107491012	0.2864188010058329	0.2449539390284116
1.680672268907563	0.2683417852282342	0.3040551633280295	0.04888103618326021	0.256189182289791	0.3153705561703296	0.19692607649261384	0.2677547887424778	0.22395860652174113
2.100840336134454	0.24469557183208812	0.2623225023122525	0.04346276898253618	0.2422658082722185	0.30052830660471785	0.18378240391209694	0.24949526535421004	0.20661677292341515
2.5210084033613445	0.22823157367806998	0.23493430080154537	0.03986788815659078	0.23146742553666363	0.2884187733274104	0.17328259038724889	0.23373645203639307	0.19335448828260354
2.9411764705882355	0.21667274455879643	0.2168058739010637	0.037294019320271383	0.22345861393940153	0.27891990785514587	0.16529194303197098	0.22105045109331128	0.183623834103629
3.361344537815126	0.2085446157604611	0.2047088529170167	0.03540265537807909	0.21769559801481117	0.27172183941153805	0.15941413688246264	0.21127882671169096	0.1766585593707879
3.7815126050420167	0.20283896973175972	0.1965794097163038	0.03401057325316811	0.21362914255747856	0.2664140382388093	0.15519145452518873	0.203974299926457	0.171748749479427
4.201680672268908	0.19884616501820257	0.19108488631892773	0.03299385038231925	0.21079497175727854	0.26258017495918073	0.1522067334181356	0.198628561148732	0.16832115073915085
4.621848739495799	0.1960613462355332	0.18735491382919228	0.032258778825313174	0.208834475015699	0.25985310282292096	0.15012020232634343	0.19477615384311442	0.16594288231299806
5.042016806722689	0.19412510033497732	0.1848146770685625	0.03173253469593846	0.20748435757290198	0.2579349718663615	0.14867230759081163	0.1920314207927582	0.16429908649972927
5.46218487394958	0.19278251285980766	0.18308081131614073	0.031359003993892	0.20655696754473246	0.2565967647114689	0.14767246199883022	0.19009259568038733	0.163165775319315
5.882352941176471	0.19185369495464183	0.18189556293692838	0.031095749662768436	0.20592085852943018	0.2556685949345138	0.14698419728489093	0.18873198553463272	0.16238570596849997
6.302521008403361	0.1912123475076474	0.1810845691778894	0.030911282706910553	0.20548489029515463	0.25502750432010174	0.14651137628179497	0.1877819607916076	0.1618493916293912
6.722689075630252	0.19077019103319032	0.18052933571252808	0.030782620441981025	0.20518622770591527	0.2545860099857007	0.1461869803946749	0.18712123199503508	0.16148097415107188
7.142857142857143	0.19046574950212705	0.18014908670904836	0.030693212025048364	0.2049816705847671	0.25428259675637943	0.14596459481015817	0.18666312317192169	0.1612280489037284
7.563025210084033	0.1902563525196384	0.17988863943378838	0.03063126324328417	0.20484159757227607	0.2540743820391811	0.14581222164856097	0.18634628069275266	0.16105450435237614
7.983193277310924	0.19011245493420567	0.17971024711347147	0.030588443051839262	0.2047456818218951	0.25393164210266095	0.14570785508284184	0.18612757536496802	0.16093547501755046
8.403361344537815	0.19001363891950215	0.17958805947662293	0.03055889831351384	0.20468002691076295	0.2538338542645352	0.14563638567015336	0.18597684904744016	0.16085387077396987
8.823529411764707	0.18994582022549897	0.17950437673454445	0.03053854637918736	0.20463506421511926	0.25376689239144995	0.14558744982542582	0.18587310260334405	0.16079793222501948
9.243697478991598	0.1898993008255776	0.1794470705455646	0.03052454144678747	0.20460430132750168	0.25372105536347317	0.1455539491884932	0.1858017705273003	0.1607596087730875
9.663865546218487	0.18986740299425028	0.179407830772821	0.03051491571008229	0.20458323612064117	0.25368968446142437	0.14553101543892588	0.18575276474900534	0.16073335032113328
10.084033613445378	0.18984554051849	0.1793809659049727	0.0305083049541226	0.20456881734324814	0.25366821911769927	0.1455153184541898	0.18571912366885532	0.1607153662261999
10.504201680672269	0.18983056110644947	0.17936257582387452	0.03050376789452513	0.2045589509667965	0.2536535333066623	0.1455045755613613	0.1856960442095768	0.16070305182221697
10.92436974789916	0.18982030007678188	0.1793499879552962	0.030500655714446066	0.20455219925296494	0.2536434862218017	0.14549722348902125	0.18568021781710176	0.16069462066784454
11.344537815126051	0.18981327247146237	0.17934137213194182	0.030498521843740797	0.20454757903191478	0.25363661273436594	0.14549219209885564	0.18566936913857543	0.16068884875219291
11.764705882352942	0.1898084564639026	0.1793354707763558	0.030497058163713297	0.20454441501676238	0.2536319067800764	0.14548874630739642	0.1856619292506471	0.1606848946471067
12.184873949579831	0.18980515673808374	0.17933142916446443	0.030496054549973676	0.20454224844028565	0.25362868506705255	0.14548638666055935	0.18565682873954775	0.1606821862536036
12.605042016806722	0.18980290221364313	0.17932866885885257	0.030495368357412022	0.20454076885351635	0.2536264854881009	0.14548477523219253	0.18565334195182298	0.1606803362514356
13.025210084033613	0.18980135827217717	0.17932677908365555	0.03049489820953806	0.20453975604601485	0.2536249800317671	0.14548367208220345	0.18565095322295014	0.16067906957885497
13.445378151260504	0.1898003009734515	0.17932548525139264	0.03049457611999996	0.2045390627771842	0.25362394958430684	0.14548291686049125	0.1856493168998536	0.1606782023056747
13.865546218487395	0.18979957699913594	0.17932459954598715	0.030494355481771717	0.2045385880432207	0.2536232443098093	0.14548239987758532	0.18564819608729885	0.1606776085369498
14.285714285714286	0.18979908268767592	0.17932399495403228	0.03049420478593092	0.20453826371243494	0.2536227629560287	0.14548204697718647	0.185647430616346	0.16067720315255749
14.705882352941178	0.18979874452906736	0.17932358135698392	0.030494101680254185	0.20453804210158089	0.2536224337595994	0.14548180559430077	0.18564690689796978	0.16067692586042687
15.126050420168067	0.1897985127542207	0.17932329787208978	0.030494030989418084	0.20453789097701444	0.2536222081785987	0.14548164018148607	0.1856465478956037	0.16067673589278897
15.546218487394958	0.1897983538128113	0.17932310353754716	0.030493982495774296	0.20453778743412074	0.2536220534991401	0.14548152675504933	0.18564630165937093	0.16067660563958475
15.966386554621849	0.18979824538486206	0.1793229710166194	0.03049394942875773	0.20453771554205177	0.25362194799713345	0.14548144936744473	0.1856461336638832	0.16067651666272598
16.386554621848738	0.1897981713508438	0.17932288049951806	0.030493926877547105	0.2045376646838487	0.2536218760062355	0.14548139654481224	0.1856460189574882	0.160676455789422
16.80672268907563	0.18979812251199146	0.17932282078877526	0.030493911999871316	0.20453763105485118	0.2536218285266068	0.1454813617046647	0.18564594327889414	0.16067641563030688
17.22689075630252	0.18979808948678112	0.17932278042470115	0.030493901911253035	0.20453761018249877	0.2536217963996098	0.14548133814132758	0.18564589209648105	0.16067638860620825
17.647058823529413	0.18979806781444133	0.17932275393354216	0.030493895276049798	0.20453759740628716	0.2536217753110276	0.14548132268140282	0.18564585850351767	0.16067637094622442
18.067226890756302	0.18979805268301042	0.17932273543353125	0.030493890642340055	0.20453758848788445	0.25362176058851643	0.14548131189032837	0.18564583504831694	0.1606763586248242
18.487394957983195	0.1897980419602029	0.17932272231885496	0.03049388735700605	0.20453758225260946	0.2536217501554056	0.14548130424547473	0.18564581842693129	0.16067634990569502
18.907563025210084	0.18979803402944215	0.17932271261823624	0.030493884931087463	0.20453757737669423	0.2536217424412963	0.1454812985914048	0.1856458061346206	0.160676343437953
19.327731092436974	0.18979802745400515	0.1793227045754661	0.030493882923402764	0.20453757311422693	0.2536217360469248	0.14548129390288272	0.18564579594449315	0.1606763380575072
19.747899159663866	0.18979802317852595	0.17932269934545214	0.03049388161972857	0.2045375702368534	0.253621731890151	0.14548129085423475	0.1856457893193355	0.16067633455065744
20.168067226890756	0.1897980195422687	0.17932269489855654	0.030493880511310772	0.20453756777762722	0.25362172835477736	0.1454812882607478	0.18564578368475168	0.16067633156538616
20.58823529411765	0.18979801675175587	0.17932269148677932	0.030493879660621177	0.20453756590100894	0.25362172564154395	0.14548128627008544	0.18564577936059057	0.16067632927408035
21.008403361344538	0.18979801449746184	0.17932268873178753	0.030493878973751533	0.20453756437166923	0.2536217234496187	0.14548128466131746	0.18564577586739714	0.16067632742030402
21.42857142857143	0.1897980128109896	0.17932268667055482	0.030493878459578478	0.20453756324212088	0.2536217218097864	0.14548128345797268	0.18564577325391607	0.16067632603516507
