,,,Slide ID,c,f,d,a,b,e
,,,Antibody Name,c,f,d,a,b,e
,,,HUGO ID,c,f,d,a,b,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9774721428772449,0.035842416422409706,0.6778303459288141,0.5791333736239443,0.7664692277561544,0.7368794929853641
C1,no,Insulin,0.42016806722689076,0.5028276697167904,0.14927070570576959,0.3891856689772926,0.35377900100203935,0.5358348802570181,0.37347723450381726
C1,no,Insulin,0.8403361344537815,0.3137500461785161,0.193050019469392,0.273706257531188,0.2518635616292576,0.3982709163356164,0.2540707482011555
C1,no,Insulin,1.2605042016806722,0.23467443112944256,0.20496447609850563,0.22516090065189953,0.20262436830521033,0.3146219633364775,0.21014956050687517
C1,no,Insulin,1.680672268907563,0.1996325712273292,0.20438282139931213,0.20339792347023858,0.17738107062011196,0.2632562494825188,0.19146832803059058
C1,no,Insulin,2.100840336134454,0.1832140018024634,0.20003222132164988,0.19310438733027693,0.16384738750731906,0.23161645086133792,0.1823836164852406
C1,no,Insulin,2.5210084033613445,0.17514476127274373,0.1953560713329569,0.18805267129931452,0.15636117766395752,0.21213360017780522,0.1775336110387289
C1,no,Insulin,2.9411764705882355,0.17102693150871962,0.19146836270833606,0.18551889671794777,0.15212972939370417,0.20015695333250194,0.17480143868410233
C1,no,Insulin,3.361344537815126,0.16886566293652264,0.18855828966895846,0.1842343762387102,0.14970085768987101,0.19280943730293443,0.17321810466190196
C1,no,Insulin,3.7815126050420167,0.16770764044895017,0.18649869260950078,0.18358094476725462,0.1482904486272412,0.18831030694159773,0.17228658863205287
C1,no,Insulin,4.201680672268908,0.1670774870536566,0.18509017978598846,0.18324894543702014,0.14746389192524512,0.18555965299364915,0.17173365320866785
C1,no,Insulin,4.621848739495799,0.16673037919456804,0.18414873333279816,0.18308098755787167,0.14697579354118337,0.18388000669074275,0.1714034212285579
C1,no,Insulin,5.042016806722689,0.16653722055921774,0.18352958278380885,0.18299659202410176,0.14668567883062902,0.1828552437889283,0.17120523765679618
C1,no,Insulin,5.46218487394958,0.16642875141477126,0.183127224913525,0.18295457422466457,0.14651226069746587,0.18223037642231826,0.17108580422368597
C1,no,Insulin,5.882352941176471,0.16636732748663502,0.18286810917508206,0.18293391087792005,0.14640808416823162,0.18184946728549345,0.17101356273986415
C1,no,Insulin,6.302521008403361,0.16633226445538152,0.18270241121376812,0.18292391455772014,0.14634522887159945,0.18161728823808565,0.17096972100873611
C1,no,Insulin,6.722689075630252,0.16631209582006146,0.18259703618452147,0.1829191878161782,0.1463071596036239,0.18147574928307092,0.17094303544011816
C1,no,Insulin,7.142857142857143,0.1663004089706811,0.18253032006606018,0.1829170258547518,0.14628402529114398,0.18138944379727162,0.17092675017383255
C1,no,Insulin,7.563025210084033,0.16629358973065464,0.18248823204200693,0.18291608687827915,0.14626992622241256,0.18133679964667915,0.1709167890727672
C1,no,Insulin,7.983193277310924,0.16628958303317443,0.18246175604761167,0.18291571400685178,0.14626131058825173,0.181304668558185,0.1709106835548978
C1,no,Insulin,8.403361344537815,0.1662872156803943,0.18244514102174475,0.18291559260814985,0.14625603532237863,0.1812850497854007,0.1709069348467022
